t  meta_n  emi mean_cth  mean_gamma
0  114421  0.444976  0.908603  0.899127
100  104284  0.186281  0.991968  0.822224
200  105684  0.179771  0.968625  0.740662
300  105442  0.177036  0.937049  0.659998
400  105998  0.184447  0.909658  0.598868
500  106447  0.178195  0.886785  0.530527
600  105991  0.181476  0.871848  0.483936
700  106413  0.181893  0.861888  0.456883
800  106988  0.180269  0.854483  0.424575
900  105953  0.178584  0.844926  0.399783
1000  106065  0.173723  0.838379  0.369042
1100  106074  0.178726  0.831085  0.352608
1200  106596  0.179503  0.824033  0.327953
1300  105906  0.18174  0.820104  0.320951
1400  106177  0.177834  0.820168  0.312344
1500  106419  0.180852  0.811466  0.300715
1600  106540  0.181608  0.809987  0.299751
1700  106754  0.185902  0.80782  0.289888
1800  106720  0.176413  0.809625  0.303616
1900  106770  0.172987  0.811178  0.300455
2000  106785  0.179906  0.808278  0.284847
2100  105929  0.172725  0.807905  0.288101
2200  105781  0.173387  0.809526  0.280577
2300  106534  0.17239  0.810065  0.278583
2400  107079  0.179481  0.806365  0.26697
2500  106527  0.1734  0.810286  0.274948
2600  107397  0.169524  0.810893  0.278189
2700  105777  0.169019  0.809412  0.274485
2800  106584  0.172438  0.806485  0.257525
2900  106588  0.165379  0.80709  0.256247
3000  106481  0.166144  0.804097  0.245279
3100  106155  0.165169  0.803402  0.242913
3200  106996  0.169599  0.800691  0.240055
3300  106575  0.172992  0.80017  0.243733
3400  106280  0.166612  0.797986  0.240138
3500  106753  0.172867  0.795339  0.233251
3600  107113  0.175482  0.793052  0.225436
3700  106119  0.173509  0.793034  0.228716
3800  105973  0.17408  0.792271  0.229116
3900  106819  0.172809  0.794146  0.230804
4000  106983  0.173977  0.79536  0.236053
4100  106265  0.170644  0.796127  0.235698
4200  105679  0.172982  0.794268  0.234776
4300  106646  0.174276  0.793112  0.233571
4400  105680  0.172221  0.794378  0.242562
4500  105116  0.170556  0.795002  0.240335
4600  106112  0.168845  0.793859  0.238951
4700  107297  0.174828  0.794209  0.237768
4800  106206  0.172868  0.790506  0.225415
4900  106089  0.175384  0.790074  0.223182
5000  105559  0.172708  0.790252  0.220114
5100  106390  0.172576  0.790595  0.221866
5200  106004  0.172098  0.792056  0.230678
5300  106321  0.171298  0.792117  0.226863
5400  106167  0.166673  0.793623  0.231105
5500  107159  0.176585  0.79363  0.23116
5600  106511  0.171346  0.79267  0.226284
5700  106181  0.172266  0.792435  0.224776
5800  106761  0.175129  0.79538  0.23521
5900  105811  0.169623  0.796048  0.241219
6000  106847  0.170971  0.795984  0.241971
6100  105225  0.170309  0.793888  0.232944
6200  106809  0.170608  0.794329  0.232612
6300  106487  0.167507  0.795032  0.2373
6400  105878  0.168843  0.79611  0.236774
6500  106719  0.17097  0.794467  0.227625
6600  107170  0.171123  0.795223  0.228992
6700  105566  0.164251  0.796639  0.226736
6800  105704  0.16635  0.797304  0.235839
6900  106613  0.168984  0.797225  0.23006
7000  106245  0.169439  0.794563  0.217721
7100  106229  0.169386  0.795427  0.221406
7200  107347  0.170149  0.795787  0.224075
7300  107484  0.172011  0.795403  0.221642
7400  105906  0.169209  0.795245  0.21731
7500  105934  0.164679  0.796354  0.223073
7600  106128  0.172165  0.796907  0.225568
7700  106834  0.168245  0.795346  0.218699
7800  106187  0.166933  0.795344  0.217028
7900  106768  0.171929  0.79575  0.219487
8000  106278  0.169028  0.794656  0.220163
8100  106214  0.168083  0.793773  0.215685
8200  106521  0.16923  0.796396  0.226989
8300  107192  0.169632  0.797848  0.231602
8400  106384  0.172958  0.798252  0.234452
8500  107577  0.166454  0.797742  0.230942
8600  106405  0.16823  0.800248  0.241036
8700  106630  0.167995  0.802204  0.252298
8800  106798  0.170004  0.79912  0.239797
8900  106046  0.168725  0.80174  0.249539
9000  106857  0.172471  0.802421  0.252996
9100  105707  0.163483  0.800972  0.246026
9200  106017  0.167686  0.799413  0.239103
9300  105752  0.163003  0.798846  0.23534
9400  106677  0.172857  0.797928  0.232565
9500  106725  0.171208  0.797763  0.234577
9600  105767  0.164577  0.797785  0.235326
9700  105886  0.167345  0.796134  0.229787
9800  106385  0.167152  0.794733  0.226344
9900  106138  0.169186  0.7938  0.222624
