t  meta_n  emi mean_cth  mean_gamma
0  114826  0.444456  0.908912  0.899076
100  104654  0.192823  0.990145  0.833773
200  105532  0.179392  0.968562  0.764931
300  104932  0.176505  0.943157  0.697746
400  105421  0.179764  0.916809  0.644665
500  106020  0.175342  0.897696  0.593505
600  105819  0.171838  0.890782  0.562508
700  106991  0.174989  0.878067  0.523486
800  106292  0.177195  0.864393  0.496676
900  105808  0.175948  0.863847  0.483599
1000  105926  0.177374  0.853439  0.460575
1100  106738  0.180131  0.846565  0.443982
1200  105996  0.176835  0.839982  0.421074
1300  105801  0.17544  0.834259  0.413535
1400  105834  0.182008  0.831125  0.400351
1500  106409  0.180436  0.82951  0.389973
1600  106837  0.181763  0.82733  0.37946
1700  105814  0.173366  0.82753  0.381717
1800  106507  0.174855  0.826864  0.37436
1900  106998  0.173406  0.82478  0.356222
2000  106206  0.169671  0.823017  0.349648
2100  106440  0.173989  0.820757  0.34551
2200  106311  0.171632  0.820071  0.348307
2300  105857  0.172207  0.81822  0.353042
2400  106766  0.1762  0.822938  0.361709
2500  106075  0.16783  0.824943  0.374539
2600  107316  0.167295  0.823307  0.369765
2700  106739  0.167773  0.822618  0.356112
2800  106502  0.172079  0.821688  0.354612
2900  106974  0.170326  0.819982  0.352422
3000  106866  0.16932  0.820851  0.352463
3100  106607  0.167011  0.819294  0.348935
3200  105856  0.166824  0.817728  0.348309
3300  106169  0.173692  0.813506  0.339019
3400  106276  0.173962  0.813925  0.334937
3500  107573  0.169082  0.811987  0.329059
3600  106699  0.168549  0.811856  0.313301
3700  106640  0.165906  0.812407  0.310748
3800  106922  0.167345  0.815601  0.320442
3900  106252  0.167632  0.81578  0.32988
4000  106647  0.16711  0.813799  0.321006
4100  106388  0.164756  0.811087  0.309572
4200  106834  0.169209  0.81051  0.305282
4300  106195  0.168693  0.811646  0.313582
4400  106215  0.169868  0.812689  0.322774
4500  105965  0.167446  0.811737  0.319805
4600  106866  0.169743  0.811628  0.314241
4700  105776  0.157569  0.813659  0.320525
4800  106553  0.162543  0.814881  0.320753
4900  105966  0.160504  0.815547  0.323021
5000  106469  0.166703  0.813534  0.318192
5100  107180  0.170026  0.81368  0.322642
5200  105858  0.164752  0.813406  0.321378
5300  106753  0.166582  0.813245  0.327863
5400  106141  0.164804  0.813602  0.330091
5500  107146  0.166276  0.813346  0.333564
5600  106848  0.160803  0.815031  0.334492
5700  107360  0.164569  0.816783  0.34419
5800  106309  0.167633  0.816747  0.344554
5900  107018  0.171679  0.816213  0.345471
6000  107034  0.169124  0.815095  0.342417
6100  106508  0.169227  0.815105  0.340806
6200  106767  0.168125  0.814006  0.339672
6300  105801  0.164499  0.81291  0.33753
6400  106125  0.166549  0.812692  0.338061
6500  105849  0.167  0.81548  0.345619
6600  107042  0.165106  0.81335  0.334835
6700  106923  0.169327  0.814054  0.334136
6800  106634  0.162369  0.812307  0.330347
6900  105569  0.16444  0.812655  0.33002
7000  106062  0.164799  0.810647  0.323523
7100  105759  0.16649  0.810053  0.319277
7200  105880  0.162646  0.809316  0.312631
7300  107046  0.170372  0.809518  0.316619
7400  106422  0.164339  0.80958  0.319674
7500  107366  0.170575  0.809669  0.320628
7600  106476  0.165751  0.807095  0.315241
7700  106282  0.172147  0.805604  0.309908
7800  106633  0.170623  0.805236  0.307364
7900  106539  0.169237  0.805431  0.306983
8000  105957  0.16359  0.806858  0.312346
8100  106511  0.16505  0.807116  0.312171
8200  107050  0.169341  0.805991  0.313146
8300  106473  0.169428  0.80618  0.314268
8400  106650  0.167805  0.806017  0.311291
8500  106498  0.170701  0.805431  0.309494
8600  106132  0.163296  0.80573  0.310508
8700  105983  0.163872  0.805021  0.307046
8800  106762  0.168467  0.804774  0.306098
8900  106899  0.173764  0.804559  0.305694
9000  105888  0.16756  0.804509  0.306669
9100  106416  0.174909  0.804784  0.305425
9200  105961  0.166588  0.804793  0.304938
9300  106697  0.164447  0.804618  0.302858
9400  105871  0.170639  0.804243  0.303471
9500  106935  0.167878  0.80408  0.302735
9600  107166  0.171298  0.805235  0.306411
9700  105989  0.164656  0.805467  0.307513
9800  106643  0.170322  0.804606  0.305022
9900  105659  0.162759  0.804551  0.303312
