t  meta_n  emi mean_cth  mean_gamma
0  114527  0.444672  0.909402  0.899486
100  104045  0.221753  0.930463  0.862985
200  104366  0.224526  0.920146  0.842086
300  104243  0.219098  0.917518  0.821284
400  104347  0.217812  0.923591  0.821515
500  104521  0.213726  0.921692  0.818771
600  103999  0.208556  0.915331  0.802625
700  105567  0.211781  0.917166  0.807724
800  105171  0.21098  0.919181  0.80742
900  104802  0.21673  0.919306  0.818362
1000  104056  0.213986  0.916804  0.822685
1100  104811  0.209583  0.922266  0.83348
1200  104107  0.215474  0.923938  0.835294
1300  104943  0.208958  0.928298  0.838929
1400  105393  0.21563  0.930471  0.848316
1500  105507  0.20652  0.940559  0.862723
1600  103981  0.207979  0.947651  0.87791
1700  104568  0.214884  0.951433  0.890785
1800  104401  0.21054  0.95744  0.901165
1900  104112  0.207053  0.958559  0.90266
2000  104118  0.203179  0.954409  0.900437
2100  105359  0.208708  0.964635  0.915654
2200  105114  0.208181  0.967888  0.917368
2300  105044  0.205067  0.969855  0.922988
2400  104605  0.209765  0.97082  0.922954
2500  104708  0.203268  0.97313  0.927931
2600  104464  0.208969  0.977466  0.935804
2700  104958  0.205431  0.982931  0.945083
2800  105373  0.199254  0.990627  0.956491
2900  103848  0.204886  0.991496  0.958179
3000  104501  0.217503  0.99557  0.962471
3100  104704  0.201982  0.997415  0.96454
3200  104687  0.207804  0.998507  0.968868
3300  105016  0.204141  1.00072  0.973179
3400  104814  0.203054  1.00055  0.976216
3500  103899  0.195138  1.00327  0.979009
3600  104653  0.20448  1.00246  0.97867
3700  104140  0.202693  1.00431  0.98154
3800  105608  0.204202  1.00385  0.979902
3900  104478  0.200587  1.00573  0.983214
4000  104272  0.205858  1.00609  0.986037
4100  104753  0.211085  1.00467  0.987282
4200  104409  0.212869  1.00394  0.986293
4300  105233  0.209581  1.00514  0.98684
4400  105340  0.206302  1.00555  0.987912
4500  105554  0.215444  1.00645  0.987975
4600  104327  0.206771  1.00645  0.988153
4700  104605  0.209853  1.0054  0.9874
4800  105174  0.202667  1.00691  0.989617
4900  104493  0.216217  1.00768  0.990813
5000  104682  0.201714  1.00818  0.990035
5100  103866  0.206669  1.00816  0.990122
5200  105567  0.217112  1.00881  0.990067
5300  103863  0.202901  1.00886  0.990456
5400  104752  0.215676  1.01177  0.99274
5500  104269  0.210121  1.01131  0.992769
5600  105175  0.21164  1.01257  0.993637
5700  105387  0.213656  1.01127  0.99345
5800  104577  0.207858  1.0107  0.993838
5900  105035  0.218668  1.01244  0.994877
6000  105545  0.212083  1.01404  0.995754
6100  105055  0.20948  1.01363  0.995283
6200  104679  0.209001  1.01361  0.995058
6300  105364  0.213848  1.01458  0.996037
6400  105182  0.208424  1.01431  0.995898
6500  105296  0.215416  1.01374  0.996117
6600  103881  0.214943  1.01404  0.996363
6700  104964  0.211649  1.0141  0.996357
6800  106109  0.214065  1.01499  0.996658
6900  104777  0.207773  1.01554  0.996508
7000  106112  0.210069  1.01549  0.996439
7100  104671  0.214877  1.01606  0.996934
7200  105220  0.208951  1.01579  0.996945
7300  105602  0.213754  1.0158  0.996697
7400  104834  0.203363  1.01598  0.996797
7500  105014  0.218675  1.01606  0.997238
7600  104983  0.207594  1.01575  0.997164
7700  105020  0.201734  1.01688  0.997618
7800  104764  0.212891  1.01786  0.997802
7900  104780  0.208448  1.01702  0.99765
8000  105128  0.215034  1.01681  0.997644
8100  104131  0.21138  1.01692  0.997756
8200  105343  0.208223  1.01595  0.997444
8300  104449  0.213815  1.01618  0.997437
8400  105020  0.2096  1.01637  0.99762
8500  104512  0.211303  1.0165  0.997703
8600  105038  0.213762  1.01586  0.997553
8700  104630  0.20951  1.01647  0.997955
8800  104255  0.207853  1.01633  0.997895
8900  104586  0.213193  1.0173  0.998066
9000  104949  0.21481  1.01787  0.997902
9100  104881  0.215387  1.01877  0.998352
9200  105026  0.213487  1.01865  0.998315
9300  104913  0.212677  1.01876  0.998399
9400  104874  0.211131  1.01793  0.998268
9500  104645  0.209663  1.01837  0.998398
9600  105942  0.211449  1.01881  0.998531
9700  104754  0.209702  1.01946  0.998382
9800  104852  0.209867  1.02024  0.998612
9900  104988  0.210284  1.02059  0.998821
