t  meta_n  emi mean_cth  mean_gamma
0  113724  0.44652  0.909503  0.899463
100  104702  0.189313  1.01054  0.816095
200  105510  0.174874  0.984734  0.721784
300  105088  0.175591  0.950492  0.641096
400  106339  0.180082  0.926492  0.582868
500  105779  0.164358  0.909325  0.530161
600  106490  0.173763  0.89147  0.485943
700  106516  0.177965  0.877635  0.451433
800  106073  0.178299  0.866754  0.425395
900  105997  0.179939  0.857324  0.405054
1000  106440  0.180828  0.851982  0.367474
1100  107220  0.17642  0.842058  0.34812
1200  105856  0.174566  0.836742  0.322329
1300  105955  0.175648  0.834783  0.309257
1400  106535  0.181103  0.827181  0.289448
1500  106506  0.172901  0.82786  0.286333
1600  106949  0.180624  0.826899  0.286848
1700  106193  0.175923  0.823648  0.273346
1800  105462  0.165408  0.825502  0.267059
1900  105696  0.168137  0.824854  0.261998
2000  106221  0.167499  0.822708  0.240405
2100  107203  0.171016  0.818573  0.232353
2200  106770  0.171671  0.817715  0.231303
2300  106246  0.16355  0.817394  0.233078
2400  106578  0.169801  0.813441  0.217122
2500  106961  0.172346  0.811111  0.215969
2600  105984  0.171097  0.811829  0.223746
2700  105166  0.169424  0.810673  0.225267
2800  106310  0.172891  0.809896  0.23037
2900  106391  0.172243  0.81157  0.231928
3000  107576  0.174344  0.811375  0.237164
3100  106587  0.169801  0.81178  0.232697
3200  106046  0.167574  0.811753  0.226762
3300  106373  0.167473  0.807319  0.208924
3400  106317  0.166122  0.806496  0.202696
3500  105943  0.169367  0.807688  0.203324
3600  106827  0.172565  0.809102  0.207727
3700  106850  0.16688  0.808458  0.210273
3800  106961  0.169384  0.809304  0.206007
3900  107185  0.166013  0.807737  0.198051
4000  106195  0.164518  0.808071  0.199742
4100  107451  0.172424  0.808171  0.205741
4200  106243  0.160441  0.807801  0.195096
4300  107391  0.165851  0.808416  0.206322
4400  107049  0.166123  0.807428  0.198494
4500  105782  0.166409  0.806379  0.198251
4600  107089  0.16647  0.804529  0.196984
4700  106389  0.166715  0.806354  0.19255
4800  106203  0.170235  0.806743  0.19728
4900  106021  0.167136  0.80472  0.188088
5000  106575  0.168179  0.80193  0.174774
5100  107096  0.164838  0.801553  0.174178
5200  106704  0.164734  0.803925  0.181548
5300  107127  0.164183  0.803176  0.176679
5400  106135  0.162785  0.804613  0.184629
5500  106358  0.164311  0.804529  0.178088
5600  106556  0.162929  0.804484  0.177935
5700  105772  0.158136  0.80732  0.184799
5800  105791  0.158866  0.807815  0.182496
5900  105839  0.157266  0.807776  0.178376
6000  106511  0.16528  0.806582  0.174193
6100  106405  0.16136  0.805207  0.169475
6200  107396  0.161558  0.805342  0.170965
6300  106543  0.163127  0.806153  0.171186
6400  105804  0.157023  0.806366  0.172841
6500  106542  0.161126  0.805762  0.169528
6600  107115  0.16768  0.80519  0.171237
6700  106537  0.162646  0.805273  0.17047
6800  106278  0.159112  0.805524  0.170838
6900  106966  0.167757  0.804701  0.170163
7000  106441  0.16154  0.805527  0.171709
7100  106892  0.165456  0.806026  0.176127
7200  107103  0.165323  0.805975  0.180228
7300  106691  0.161542  0.805684  0.178572
7400  105898  0.160539  0.806555  0.186188
7500  106299  0.163215  0.806257  0.180285
7600  107090  0.165779  0.804491  0.172833
7700  107073  0.162073  0.804979  0.178577
7800  106506  0.16556  0.804154  0.175198
7900  106759  0.160086  0.803637  0.169864
8000  106512  0.163495  0.802364  0.163002
8100  106648  0.16526  0.802238  0.166599
8200  106763  0.160996  0.799951  0.156974
8300  106254  0.161252  0.800389  0.15631
8400  107276  0.165669  0.800355  0.154287
8500  106371  0.163557  0.801261  0.158737
8600  106256  0.164041  0.802661  0.16498
8700  106491  0.163272  0.802772  0.163164
8800  106888  0.166121  0.803209  0.162632
8900  106648  0.159271  0.802737  0.160236
9000  106983  0.161203  0.802428  0.158897
9100  105590  0.159259  0.800958  0.151459
9200  106380  0.167386  0.800958  0.149439
9300  107161  0.164446  0.801133  0.150325
9400  106906  0.160528  0.800203  0.148539
9500  107163  0.158919  0.799998  0.146538
9600  106463  0.166006  0.800095  0.149526
9700  106826  0.15995  0.801326  0.15707
9800  107083  0.16357  0.801182  0.155308
9900  106474  0.163852  0.801539  0.152697
