t  meta_n  emi mean_cth  mean_gamma
0  115072  0.445368  0.909451  0.899047
100  103257  0.222872  0.932587  0.863983
200  103080  0.220804  0.91861  0.837611
300  103369  0.221993  0.905636  0.817229
400  103454  0.223707  0.897365  0.798897
500  103658  0.220152  0.896331  0.791283
600  102916  0.218282  0.893517  0.778024
700  103446  0.21583  0.896081  0.770697
800  103802  0.21434  0.89663  0.766683
900  103186  0.210417  0.891478  0.762431
1000  103281  0.215274  0.887632  0.766996
1100  103063  0.219661  0.889035  0.775977
1200  103549  0.216048  0.888178  0.770988
1300  102614  0.214995  0.891082  0.772208
1400  103022  0.210072  0.890123  0.77178
1500  103462  0.208981  0.890794  0.776241
1600  103634  0.216221  0.894473  0.780311
1700  103079  0.211462  0.898241  0.78772
1800  102991  0.216751  0.900912  0.802188
1900  104066  0.215026  0.903717  0.806314
2000  103523  0.223198  0.909303  0.813951
2100  103915  0.218386  0.915154  0.822312
2200  103653  0.215633  0.922668  0.829259
2300  103408  0.211915  0.926985  0.838794
2400  103228  0.210874  0.927559  0.847022
2500  102926  0.218487  0.935146  0.869067
2600  103744  0.222262  0.940676  0.884822
2700  104237  0.217568  0.946003  0.890669
2800  104089  0.214497  0.953329  0.901738
2900  103343  0.218951  0.955738  0.911812
3000  104543  0.220005  0.960003  0.922648
3100  104526  0.22852  0.960289  0.927883
3200  104828  0.227761  0.967037  0.943675
3300  104444  0.22739  0.970655  0.943797
3400  104135  0.224441  0.970893  0.946862
3500  104209  0.228336  0.973847  0.955684
3600  103897  0.223108  0.97403  0.956568
3700  103790  0.230972  0.972716  0.956553
3800  103754  0.230849  0.974479  0.959419
3900  103662  0.227508  0.976794  0.965101
4000  104338  0.229674  0.978615  0.967833
4100  104198  0.231899  0.981819  0.971593
4200  104083  0.225295  0.98123  0.971872
4300  104113  0.217826  0.978555  0.968118
4400  104330  0.225224  0.980491  0.970062
4500  104238  0.22112  0.982121  0.972347
4600  103024  0.22466  0.982805  0.974596
4700  103745  0.219972  0.986297  0.977413
4800  103153  0.226014  0.987762  0.979532
4900  104041  0.223484  0.987233  0.979048
5000  103924  0.223957  0.985291  0.976002
5100  103465  0.213603  0.987006  0.976967
5200  103997  0.229002  0.98594  0.975051
5300  103187  0.211587  0.989299  0.97942
5400  103877  0.22565  0.988782  0.978277
5500  103673  0.228885  0.988276  0.976882
5600  103543  0.22588  0.990349  0.978695
5700  103558  0.221763  0.990112  0.980691
5800  103166  0.221116  0.989802  0.98001
5900  104594  0.224505  0.988078  0.979133
6000  103667  0.226641  0.988259  0.98002
6100  104232  0.225032  0.9879  0.97912
6200  103747  0.223466  0.989358  0.978866
6300  104166  0.224081  0.991108  0.980918
6400  103748  0.233023  0.993099  0.982075
6500  102949  0.223957  0.993242  0.982944
6600  103426  0.222488  0.994636  0.984227
6700  103515  0.225205  0.993621  0.983815
6800  103600  0.221302  0.991787  0.981106
6900  103935  0.223492  0.988854  0.977957
7000  102801  0.217748  0.990581  0.979432
7100  103385  0.21665  0.991505  0.981111
7200  103191  0.225733  0.992037  0.981667
7300  104201  0.2224  0.994735  0.984973
7400  103109  0.22631  0.995404  0.985469
7500  104743  0.235409  0.992885  0.981783
7600  103793  0.220635  0.993451  0.982092
7700  104040  0.219657  0.994177  0.983363
7800  104196  0.224429  0.995738  0.985915
7900  103306  0.222765  0.996063  0.986703
8000  104276  0.228206  0.996259  0.987138
8100  104395  0.2264  0.99624  0.986899
8200  103247  0.220267  0.997775  0.988545
8300  103748  0.223848  0.998562  0.9883
8400  102869  0.224652  0.999937  0.989878
8500  103195  0.21819  1.00065  0.99068
8600  103757  0.217841  1.00293  0.992678
8700  103952  0.221347  1.00337  0.993046
8800  103559  0.228769  1.00218  0.991738
8900  103790  0.215773  1.00289  0.992369
9000  103695  0.217186  1.00381  0.993974
9100  104133  0.22797  1.00328  0.993787
9200  103475  0.22013  1.00387  0.993781
9300  104195  0.223085  1.00331  0.992553
9400  104004  0.21536  1.00288  0.991083
9500  103393  0.223707  1.00584  0.994014
9600  104901  0.222511  1.00627  0.994115
9700  104894  0.219215  1.00706  0.994733
9800  104038  0.222074  1.00679  0.993469
9900  103611  0.207449  1.00731  0.993435
