t  meta_n  emi mean_cth  mean_gamma
0  114629  0.446488  0.908626  0.899067
100  104095  0.223487  0.928568  0.862089
200  104512  0.220988  0.926962  0.844222
300  103996  0.218572  0.922034  0.824149
400  102761  0.213828  0.912987  0.80599
500  103914  0.214336  0.908717  0.799831
600  103561  0.207057  0.904449  0.789721
700  103516  0.211707  0.896535  0.764094
800  105093  0.215413  0.890474  0.75627
900  104210  0.210934  0.890881  0.757793
1000  103952  0.213137  0.885098  0.756152
1100  102495  0.21876  0.882246  0.755004
1200  103087  0.210189  0.883319  0.753099
1300  103696  0.21035  0.887213  0.764312
1400  104161  0.218367  0.890107  0.769114
1500  104370  0.217381  0.893896  0.775287
1600  103603  0.211823  0.896318  0.773103
1700  104015  0.214038  0.898602  0.773551
1800  104358  0.219011  0.897809  0.780972
1900  103555  0.208632  0.89757  0.774998
2000  104826  0.214035  0.905456  0.786013
2100  104703  0.209631  0.902106  0.78008
2200  103859  0.205358  0.910162  0.79851
2300  103436  0.212189  0.91668  0.826622
2400  103758  0.218987  0.926712  0.844944
2500  104111  0.205674  0.927314  0.845747
2600  104165  0.221256  0.938949  0.868525
2700  103838  0.214358  0.945255  0.882986
2800  104081  0.216146  0.947618  0.890298
2900  103355  0.210865  0.95853  0.907265
3000  103943  0.219185  0.972078  0.931495
3100  103797  0.227667  0.97556  0.938072
3200  104038  0.216367  0.979822  0.94723
3300  104360  0.218426  0.983679  0.952445
3400  104104  0.211384  0.990047  0.959635
3500  104138  0.212334  0.989719  0.961832
3600  104645  0.214098  0.990655  0.963934
3700  103944  0.207407  0.990817  0.963132
3800  104363  0.21388  0.989746  0.963719
3900  103611  0.214136  0.992778  0.969213
4000  104400  0.208778  0.989879  0.967313
4100  104378  0.214594  0.989783  0.967721
4200  104629  0.212902  0.990901  0.9668
4300  104485  0.211875  0.993106  0.970275
4400  104526  0.214931  0.993299  0.969935
4500  104366  0.216001  0.991762  0.970086
4600  104407  0.207829  0.994733  0.974962
4700  104716  0.208832  0.992949  0.97147
4800  105349  0.210492  0.992016  0.970643
4900  104699  0.213261  0.992491  0.969347
5000  103923  0.205775  0.997257  0.976466
5100  104077  0.210222  0.99593  0.973639
5200  104516  0.217385  1.00029  0.97889
5300  104854  0.214175  1.00146  0.981067
5400  104834  0.214073  1.00307  0.982361
5500  104187  0.216364  1.00286  0.98301
5600  104696  0.219219  1.00601  0.985998
5700  104581  0.215161  1.00668  0.98819
5800  104938  0.21666  1.00763  0.989234
5900  103831  0.212982  1.00761  0.988683
6000  104321  0.209848  1.00849  0.988815
6100  104099  0.209848  1.00778  0.989651
6200  104104  0.217181  1.0091  0.990973
6300  104323  0.218513  1.00963  0.9909
6400  104089  0.209447  1.0103  0.991398
6500  104862  0.209668  1.01012  0.990519
6600  104278  0.210326  1.01213  0.992318
6700  103628  0.209812  1.01355  0.993625
6800  104313  0.210776  1.01286  0.992404
6900  104612  0.213567  1.01302  0.99322
7000  104086  0.212792  1.01504  0.996348
7100  103830  0.214999  1.01455  0.996372
7200  103668  0.207558  1.01474  0.996919
7300  103380  0.212613  1.01493  0.996521
7400  104423  0.214163  1.01564  0.996916
7500  103753  0.209053  1.01538  0.997031
7600  103752  0.204563  1.01603  0.997264
7700  105110  0.217988  1.0175  0.997892
7800  105062  0.221755  1.01776  0.998523
7900  103642  0.21087  1.01776  0.998436
8000  104532  0.207924  1.01885  0.99878
8100  105067  0.214782  1.01975  0.998947
8200  104786  0.212533  1.02  0.998987
8300  103610  0.213519  1.01975  0.999249
8400  104893  0.217079  1.01972  0.99904
8500  104722  0.212532  1.01918  0.999097
8600  103831  0.210777  1.0188  0.999097
8700  103915  0.214085  1.01871  0.999019
8800  104581  0.215077  1.0186  0.999018
8900  104424  0.21587  1.01877  0.999131
9000  104572  0.218877  1.01823  0.999058
9100  103857  0.211667  1.01877  0.999236
9200  104255  0.217865  1.01879  0.999284
9300  103630  0.211559  1.01894  0.999281
9400  104639  0.214677  1.01855  0.999475
9500  105556  0.218341  1.01825  0.999528
9600  104913  0.218337  1.01756  0.999515
9700  103338  0.212511  1.01707  0.999497
9800  104920  0.212324  1.01861  0.999568
9900  105084  0.220883  1.01879  0.999551
