t  meta_n  emi mean_cth  mean_gamma
0  114664  0.447088  0.908788  0.899401
100  105573  0.197907  0.976692  0.84495
200  105684  0.188029  0.959433  0.776472
300  104968  0.179134  0.939745  0.713088
400  105841  0.177178  0.91425  0.661344
500  105859  0.181748  0.900217  0.628941
600  106019  0.182603  0.887976  0.601461
700  106948  0.179526  0.878246  0.565486
800  105847  0.180598  0.865042  0.535857
900  106056  0.17409  0.85633  0.503691
1000  106512  0.176636  0.853985  0.489591
1100  106487  0.178761  0.850267  0.481063
1200  106167  0.179156  0.845966  0.469884
1300  105389  0.177942  0.838312  0.463102
1400  106965  0.185136  0.837356  0.455512
1500  105356  0.181176  0.833876  0.448715
1600  105442  0.17746  0.833611  0.435236
1700  106291  0.175528  0.829319  0.408601
1800  106215  0.174387  0.826186  0.403045
1900  106595  0.171207  0.825086  0.398422
2000  106724  0.171897  0.821239  0.376554
2100  106457  0.171364  0.822137  0.371177
2200  106602  0.172778  0.819583  0.374811
2300  106634  0.178291  0.81555  0.368856
2400  107172  0.174584  0.815853  0.361632
2500  106011  0.169718  0.814535  0.362077
2600  106684  0.168661  0.815502  0.364463
2700  106062  0.173568  0.815937  0.362531
2800  106966  0.171972  0.81523  0.363253
2900  106091  0.173419  0.815887  0.361813
3000  106265  0.172928  0.816159  0.366324
3100  106906  0.172302  0.816578  0.35865
3200  106179  0.167245  0.815423  0.355552
3300  105593  0.162035  0.813428  0.350175
3400  107351  0.17159  0.812491  0.35248
3500  106645  0.170701  0.81127  0.350126
3600  106558  0.174137  0.808526  0.34429
3700  107220  0.173766  0.808059  0.337767
3800  106396  0.168077  0.808371  0.331565
3900  105962  0.172122  0.807683  0.337012
4000  106029  0.168995  0.806448  0.336417
4100  106770  0.172971  0.807409  0.351266
4200  106399  0.176171  0.806143  0.349229
4300  106714  0.170594  0.808042  0.35115
4400  106399  0.170363  0.807871  0.356012
4500  107036  0.168682  0.811764  0.361305
4600  106339  0.175342  0.812933  0.365936
4700  106502  0.170827  0.813412  0.364225
4800  105624  0.16648  0.813396  0.354656
4900  106414  0.169002  0.814979  0.368145
5000  105966  0.165454  0.814181  0.366345
5100  106957  0.1715  0.814305  0.372288
5200  106099  0.172887  0.817686  0.389587
5300  106369  0.164892  0.820926  0.395925
5400  106251  0.164776  0.820268  0.402669
5500  107224  0.171293  0.818541  0.400076
5600  106531  0.16941  0.819808  0.404221
5700  105870  0.163467  0.820622  0.403973
5800  106268  0.169202  0.821197  0.407179
5900  106763  0.169865  0.820873  0.406095
6000  106025  0.168848  0.821399  0.407706
6100  106474  0.168569  0.820797  0.400865
6200  106426  0.167039  0.822514  0.412514
6300  106379  0.168458  0.822079  0.405267
6400  105893  0.167816  0.822375  0.408907
6500  106023  0.165666  0.822448  0.414048
6600  106339  0.166516  0.821534  0.407613
6700  107458  0.174821  0.822771  0.412097
6800  107011  0.168359  0.82374  0.413999
6900  106350  0.166329  0.824353  0.419477
7000  106178  0.1712  0.823971  0.418591
7100  107233  0.171642  0.822514  0.409653
7200  106495  0.16608  0.82279  0.412662
7300  106621  0.169593  0.823922  0.418126
7400  106636  0.169282  0.82187  0.409902
7500  106493  0.162857  0.821037  0.407017
7600  107571  0.173381  0.822065  0.414051
7700  105982  0.172343  0.820828  0.406414
7800  106566  0.172198  0.821409  0.414133
7900  105920  0.17119  0.822761  0.424098
8000  106845  0.168115  0.823474  0.427041
8100  106167  0.171408  0.82306  0.424796
8200  106273  0.168902  0.823622  0.43055
8300  106362  0.168396  0.824373  0.43164
8400  106937  0.177578  0.824717  0.433293
8500  106960  0.171892  0.824958  0.426955
8600  106804  0.169865  0.825584  0.433973
8700  106865  0.169601  0.82642  0.436215
8800  106231  0.168306  0.826182  0.438763
8900  106346  0.168378  0.826744  0.440958
9000  106337  0.173016  0.826306  0.434987
9100  106706  0.16813  0.824411  0.425598
9200  106208  0.166888  0.824329  0.425341
9300  106758  0.172406  0.824872  0.427221
9400  107128  0.170367  0.825137  0.433414
9500  106728  0.165847  0.825604  0.434609
9600  106710  0.17004  0.826067  0.438762
9700  107381  0.176617  0.825584  0.438744
9800  105980  0.164918  0.826462  0.443096
9900  106468  0.167134  0.826509  0.439377
