t  meta_n  emi mean_cth  mean_gamma
0  113837  0.443336  0.91098  0.898709
100  105176  0.197045  0.970651  0.857257
200  105290  0.186111  0.961393  0.825303
300  106002  0.185408  0.951954  0.794285
400  105582  0.191888  0.935078  0.762399
500  105291  0.187708  0.924793  0.734909
600  105618  0.186131  0.918337  0.717886
700  106885  0.187855  0.90988  0.69274
800  105871  0.182368  0.908467  0.681619
900  104743  0.180653  0.898095  0.661931
1000  106666  0.188081  0.884804  0.624303
1100  105834  0.173734  0.877376  0.599611
1200  105889  0.182105  0.868585  0.588
1300  106730  0.184277  0.866157  0.580979
1400  105448  0.179228  0.867518  0.587645
1500  106429  0.17925  0.862412  0.567909
1600  105321  0.179303  0.86061  0.573591
1700  106335  0.180439  0.861143  0.581243
1800  105979  0.180832  0.860342  0.583871
1900  105658  0.181381  0.859148  0.588542
2000  106255  0.17817  0.859849  0.578656
2100  106401  0.174015  0.854083  0.571975
2200  106650  0.180797  0.852731  0.575108
2300  105994  0.17818  0.855363  0.575811
2400  106439  0.180375  0.857218  0.584843
2500  106103  0.171051  0.857401  0.590539
2600  105996  0.182526  0.858489  0.593038
2700  105225  0.175782  0.857219  0.58931
2800  107119  0.178851  0.853656  0.581305
2900  105926  0.174807  0.853107  0.584187
3000  107043  0.180189  0.850994  0.585505
3100  107539  0.181381  0.847157  0.574235
3200  105671  0.17143  0.850145  0.577347
3300  106212  0.173212  0.849389  0.57858
3400  106249  0.174305  0.848144  0.566893
3500  106780  0.170156  0.847988  0.566381
3600  106127  0.170795  0.847269  0.563253
3700  106019  0.16581  0.848685  0.565981
3800  105375  0.168282  0.850246  0.575384
3900  105344  0.166509  0.853809  0.587141
4000  108004  0.175188  0.854435  0.588145
4100  106122  0.172342  0.856571  0.595921
4200  106671  0.16832  0.859223  0.608579
4300  106353  0.17368  0.859017  0.611284
4400  106185  0.171053  0.860774  0.611767
4500  106722  0.169097  0.861816  0.616941
4600  105609  0.168272  0.861781  0.613405
4700  106518  0.169052  0.85871  0.610942
4800  105930  0.167917  0.859508  0.617904
4900  107244  0.176064  0.858778  0.617488
5000  106166  0.168244  0.858908  0.617638
5100  106242  0.169182  0.85554  0.607865
5200  106376  0.165054  0.853689  0.604605
5300  106046  0.164933  0.8538  0.608028
5400  106706  0.172896  0.856  0.617507
5500  105010  0.170176  0.856172  0.618773
5600  105874  0.17095  0.858152  0.626647
5700  106116  0.172244  0.858224  0.628658
5800  106393  0.169542  0.85962  0.634167
5900  107268  0.17799  0.860256  0.634495
6000  106658  0.172547  0.861368  0.640116
6100  106866  0.173787  0.860537  0.635812
6200  106042  0.16946  0.860228  0.634239
6300  106486  0.168608  0.861856  0.642098
6400  106660  0.168162  0.860746  0.638774
6500  107550  0.178981  0.8586  0.633633
6600  106205  0.174317  0.858063  0.631873
6700  107396  0.17902  0.859188  0.637721
6800  105936  0.176506  0.86123  0.641053
6900  105761  0.177479  0.85662  0.629287
7000  105433  0.164876  0.856683  0.629967
7100  105956  0.171586  0.856151  0.628491
7200  106698  0.176549  0.85527  0.624689
7300  107143  0.177464  0.85519  0.62668
7400  106491  0.174489  0.854578  0.62558
7500  105845  0.174523  0.852582  0.61956
7600  106340  0.171712  0.853018  0.618825
7700  106443  0.177144  0.85407  0.62231
7800  105914  0.173161  0.853448  0.620977
7900  106692  0.175457  0.855788  0.630213
8000  105660  0.17013  0.855983  0.629945
8100  106936  0.181462  0.854213  0.622849
8200  107179  0.1753  0.855568  0.623854
8300  106664  0.17829  0.856229  0.626702
8400  106839  0.174018  0.857178  0.63091
8500  106968  0.174333  0.856571  0.629055
8600  107192  0.171663  0.854007  0.622615
8700  106545  0.176509  0.852915  0.618701
8800  106029  0.171363  0.853803  0.62091
8900  106268  0.168157  0.853995  0.622454
9000  106959  0.179071  0.853909  0.623202
9100  106988  0.179067  0.854952  0.625839
9200  106167  0.172269  0.854351  0.622443
9300  106336  0.174402  0.853329  0.620112
9400  106109  0.172574  0.855972  0.627801
9500  106422  0.173825  0.857771  0.633996
9600  106350  0.16731  0.85799  0.633963
9700  105556  0.172736  0.858929  0.638239
9800  107527  0.175972  0.858441  0.637198
9900  106968  0.174467  0.862206  0.650268
