t  meta_n  emi mean_cth  mean_gamma
0  113785  0.443592  0.911052  0.899186
100  105739  0.196177  1.00334  0.820012
200  105628  0.17563  0.978776  0.741939
300  105883  0.179974  0.945938  0.653519
400  105547  0.178845  0.915561  0.586135
500  104739  0.174524  0.898387  0.530003
600  107165  0.178596  0.884055  0.482879
700  106230  0.180326  0.867083  0.444564
800  105748  0.176268  0.864557  0.41952
900  105919  0.177445  0.850603  0.396197
1000  106047  0.179852  0.843332  0.381769
1100  106686  0.182496  0.836194  0.373654
1200  106357  0.182149  0.830876  0.344402
1300  106252  0.17752  0.830763  0.339907
1400  106431  0.177257  0.828345  0.339474
1500  106526  0.182901  0.820346  0.316583
1600  106408  0.178535  0.821813  0.316475
1700  106467  0.178993  0.822511  0.302219
1800  106578  0.17331  0.822047  0.304323
1900  106903  0.169234  0.818572  0.292192
2000  106857  0.178389  0.815296  0.281012
2100  105422  0.175528  0.80902  0.273582
2200  106885  0.171964  0.811762  0.281329
2300  106615  0.18096  0.8115  0.275981
2400  105979  0.174797  0.811613  0.277007
2500  106656  0.172038  0.81359  0.273644
2600  106503  0.172072  0.809697  0.270541
2700  106520  0.178475  0.807539  0.263249
2800  105297  0.177917  0.803023  0.246608
2900  106325  0.176463  0.802842  0.244718
3000  106604  0.165147  0.800071  0.230582
3100  106340  0.173508  0.802577  0.227863
3200  106459  0.178625  0.798858  0.226093
3300  106869  0.170512  0.800993  0.226354
3400  106464  0.171884  0.799001  0.22175
3500  106461  0.173924  0.799121  0.218047
3600  106534  0.168434  0.799023  0.216695
3700  106948  0.171965  0.796502  0.208711
3800  106230  0.17534  0.798039  0.206413
3900  107076  0.169559  0.795825  0.195189
4000  106943  0.170395  0.795877  0.190897
4100  107480  0.172702  0.794639  0.183531
4200  106594  0.169805  0.793645  0.186732
4300  105649  0.162122  0.795748  0.190702
4400  106695  0.17081  0.794539  0.188724
4500  106516  0.166883  0.796195  0.191477
4600  106340  0.170134  0.797762  0.189836
4700  106323  0.170851  0.796888  0.189565
4800  106627  0.168275  0.796247  0.189054
4900  106015  0.168  0.797053  0.186018
5000  107187  0.168361  0.798398  0.185585
5100  105968  0.166601  0.796565  0.17488
5200  107079  0.17127  0.793361  0.166084
5300  107565  0.171879  0.792433  0.164829
5400  106644  0.166102  0.792478  0.161534
5500  106356  0.164064  0.792518  0.16488
5600  106843  0.169333  0.794331  0.175437
5700  106933  0.164041  0.79276  0.173267
5800  106888  0.168229  0.792348  0.171482
5900  107210  0.171645  0.791182  0.163812
6000  107094  0.163921  0.790427  0.155626
6100  107380  0.168483  0.789426  0.151136
6200  106013  0.162863  0.789891  0.152949
6300  106957  0.169463  0.791272  0.157156
6400  106753  0.171502  0.790093  0.153411
6500  106314  0.166789  0.790587  0.153546
6600  106877  0.168041  0.791874  0.157504
6700  106276  0.165194  0.792973  0.169462
6800  106045  0.165022  0.795304  0.175819
6900  106233  0.168366  0.795719  0.184492
7000  107157  0.170324  0.795842  0.1882
7100  107287  0.166258  0.795567  0.187002
7200  106038  0.16891  0.794749  0.186669
7300  106576  0.16471  0.793757  0.181296
7400  106874  0.170185  0.793185  0.183465
7500  106315  0.167103  0.793644  0.18411
7600  107169  0.17195  0.792796  0.181901
7700  106606  0.170623  0.792375  0.181952
7800  106638  0.165163  0.792381  0.182769
7900  106911  0.163595  0.792739  0.182622
8000  107424  0.169036  0.793619  0.184078
8100  107363  0.17401  0.794479  0.189392
8200  105656  0.170149  0.793934  0.184905
8300  107097  0.170746  0.793269  0.18094
8400  105922  0.164501  0.794186  0.186646
8500  106493  0.169252  0.795095  0.189781
8600  106783  0.167311  0.794328  0.185927
8700  107246  0.168639  0.793861  0.189248
8800  106791  0.168525  0.794793  0.191297
8900  105973  0.165711  0.792146  0.182236
9000  106827  0.171104  0.792289  0.184231
9100  105993  0.169074  0.792538  0.187352
9200  107594  0.170049  0.794105  0.192289
9300  105957  0.16922  0.793177  0.193815
9400  105879  0.170222  0.794152  0.198549
9500  106185  0.168545  0.794413  0.200456
9600  106683  0.167618  0.795703  0.200817
9700  106034  0.165783  0.795929  0.199838
9800  106283  0.16769  0.795626  0.199345
9900  106235  0.165119  0.796701  0.20109
