t  meta_n  emi mean_cth  mean_gamma
0  114594  0.44648  0.909708  0.899319
100  105873  0.201105  0.968943  0.851304
200  106136  0.19117  0.954346  0.805378
300  105988  0.186316  0.944655  0.769371
400  105664  0.17706  0.929895  0.717934
500  105954  0.183117  0.914372  0.690249
600  106345  0.17895  0.903971  0.665292
700  106289  0.181923  0.89314  0.638066
800  106147  0.190899  0.882573  0.608491
900  105538  0.177798  0.873023  0.56921
1000  105452  0.177163  0.86228  0.541723
1100  106830  0.178292  0.85857  0.530487
1200  105585  0.179435  0.852417  0.512024
1300  106933  0.183684  0.851164  0.510853
1400  106391  0.183144  0.846901  0.507228
1500  106551  0.182833  0.841308  0.498681
1600  106574  0.178996  0.839088  0.493133
1700  105781  0.171373  0.840296  0.491788
1800  105880  0.176986  0.839336  0.49269
1900  106503  0.181976  0.838001  0.490383
2000  106598  0.175687  0.841262  0.501251
2100  106448  0.177775  0.842138  0.499443
2200  105838  0.172744  0.839171  0.494985
2300  107039  0.177652  0.841747  0.505667
2400  105484  0.176571  0.840075  0.504658
2500  106647  0.178099  0.839751  0.499364
2600  106192  0.167587  0.843622  0.501284
2700  105304  0.165462  0.839724  0.49753
2800  106347  0.168662  0.83743  0.483084
2900  107127  0.172428  0.833619  0.48064
3000  106625  0.171207  0.831801  0.479544
3100  106212  0.168413  0.834468  0.485909
3200  105917  0.169336  0.834222  0.485034
3300  106293  0.169005  0.833735  0.495072
3400  106183  0.170398  0.834268  0.492657
3500  106264  0.171447  0.834765  0.492383
3600  105900  0.169571  0.83312  0.493511
3700  106076  0.170625  0.834886  0.493622
3800  106864  0.168103  0.835687  0.49577
3900  105522  0.166944  0.835455  0.500215
4000  106435  0.167053  0.835875  0.506518
4100  106223  0.168796  0.839344  0.520997
4200  106218  0.170041  0.839811  0.520498
4300  105648  0.170605  0.838809  0.513334
4400  106841  0.16825  0.837755  0.513281
4500  106788  0.169781  0.839002  0.519686
4600  106176  0.163424  0.840857  0.52823
4700  106380  0.173257  0.845215  0.548292
4800  105872  0.165043  0.84674  0.553191
4900  105466  0.169527  0.848813  0.566989
5000  106519  0.166142  0.848685  0.570382
5100  107191  0.174565  0.848572  0.570316
5200  107481  0.176354  0.851836  0.57803
5300  106489  0.167785  0.853993  0.586963
5400  105781  0.16109  0.857878  0.598872
5500  105648  0.162596  0.857868  0.602744
5600  106109  0.164337  0.859626  0.607529
5700  106161  0.165445  0.860721  0.611856
5800  106559  0.167681  0.860218  0.607955
5900  106008  0.163601  0.861094  0.607176
6000  106435  0.165221  0.86057  0.603192
6100  106124  0.165122  0.861151  0.60916
6200  105773  0.170382  0.862775  0.613767
6300  106132  0.16009  0.864125  0.618948
6400  105876  0.166309  0.865691  0.628353
6500  106027  0.161974  0.862807  0.615097
6600  106695  0.164175  0.862838  0.615382
6700  106697  0.161679  0.864117  0.62338
6800  106070  0.164992  0.865401  0.627752
6900  106340  0.161188  0.865761  0.630076
7000  106010  0.163006  0.863948  0.623052
7100  105832  0.160731  0.86405  0.624798
7200  105912  0.16343  0.864283  0.624067
7300  105846  0.164676  0.864906  0.62738
7400  106261  0.160953  0.865147  0.627074
7500  106428  0.165817  0.866365  0.634595
7600  106801  0.170687  0.866941  0.638606
7700  106801  0.173538  0.867536  0.642606
7800  106373  0.175038  0.866461  0.64166
7900  106495  0.169179  0.866552  0.642605
8000  105813  0.170764  0.866457  0.642692
8100  106433  0.169135  0.866673  0.644547
8200  106695  0.175437  0.86607  0.643994
8300  106432  0.170565  0.865982  0.643901
8400  106958  0.17263  0.865357  0.641086
8500  106211  0.176276  0.865801  0.644541
8600  106415  0.173446  0.866221  0.646324
8700  107135  0.172856  0.867642  0.653125
8800  107258  0.170852  0.868183  0.654779
8900  105945  0.172449  0.868673  0.656638
9000  106191  0.169243  0.867841  0.653018
9100  105872  0.170256  0.867381  0.649621
9200  106638  0.172332  0.868643  0.65231
9300  106758  0.17263  0.868219  0.649584
9400  106407  0.170977  0.867121  0.644641
9500  107029  0.170968  0.865605  0.639328
9600  106590  0.175064  0.864935  0.636163
9700  107200  0.16995  0.86387  0.629678
9800  105940  0.167458  0.863048  0.62872
9900  106744  0.172694  0.860933  0.619294
