t  meta_n  emi mean_cth  mean_gamma
0  113467  0.445288  0.910511  0.899023
100  104757  0.208852  0.944767  0.863292
200  105930  0.21209  0.935796  0.839631
300  105617  0.212805  0.934083  0.832432
400  105326  0.205479  0.935644  0.83147
500  105394  0.208957  0.931099  0.811204
600  105305  0.202289  0.937165  0.816573
700  105146  0.19772  0.941664  0.825565
800  105176  0.194316  0.940898  0.831726
900  105166  0.20144  0.939584  0.831233
1000  105503  0.199586  0.947729  0.844307
1100  105123  0.190127  0.95531  0.850736
1200  105999  0.196029  0.960629  0.859375
1300  105463  0.19258  0.968166  0.869995
1400  105435  0.192876  0.970444  0.878936
1500  105663  0.185481  0.976018  0.885081
1600  105189  0.190136  0.97395  0.887561
1700  105759  0.189723  0.975885  0.898085
1800  105828  0.19578  0.979744  0.902033
1900  105144  0.192345  0.982247  0.909406
2000  105554  0.197326  0.982659  0.912868
2100  105584  0.189273  0.982759  0.914476
2200  105250  0.193859  0.986171  0.919976
2300  105403  0.188541  0.989802  0.930389
2400  105633  0.190013  0.993249  0.936451
2500  105321  0.189893  0.997617  0.946217
2600  105502  0.193086  0.998427  0.948787
2700  105445  0.187949  0.997894  0.949675
2800  105348  0.183326  1.00245  0.955936
2900  105941  0.188475  1.00524  0.959407
3000  105192  0.189731  1.00945  0.966384
3100  105732  0.194762  1.01415  0.968832
3200  105997  0.185453  1.01687  0.97128
3300  105497  0.186811  1.02012  0.975531
3400  106127  0.190491  1.02237  0.977712
3500  105620  0.188551  1.02343  0.976145
3600  105677  0.192148  1.02401  0.980807
3700  104908  0.185672  1.02459  0.981629
3800  106542  0.196974  1.02444  0.98256
3900  106453  0.188537  1.0234  0.983042
4000  105707  0.196061  1.02617  0.986874
4100  105255  0.186897  1.02586  0.986406
4200  106068  0.191634  1.0254  0.985313
4300  105501  0.187195  1.02794  0.988839
4400  104859  0.19296  1.02734  0.98904
4500  105587  0.198131  1.02838  0.989565
4600  105567  0.192629  1.02911  0.989787
4700  105826  0.195337  1.02941  0.991101
4800  105697  0.192064  1.02873  0.989203
4900  105365  0.197729  1.02844  0.989999
5000  105222  0.190833  1.02945  0.991648
5100  106420  0.19763  1.02946  0.991588
5200  105239  0.192831  1.02872  0.992367
5300  105873  0.195893  1.02893  0.993435
5400  105165  0.195983  1.02973  0.995354
5500  105752  0.198267  1.03174  0.996107
5600  105516  0.194789  1.03182  0.995791
5700  105548  0.193813  1.03308  0.996072
5800  106517  0.195236  1.03195  0.996396
5900  106265  0.198737  1.03106  0.996038
6000  105332  0.18806  1.03127  0.99622
6100  105138  0.186369  1.03155  0.997108
6200  105399  0.191612  1.03224  0.997262
6300  105334  0.191766  1.03251  0.997071
6400  105872  0.200169  1.03251  0.996556
6500  104761  0.19298  1.03357  0.997134
6600  104495  0.182721  1.03352  0.997408
6700  105060  0.189264  1.03287  0.998145
6800  105954  0.192049  1.03279  0.998367
6900  105308  0.18907  1.03318  0.998458
7000  106504  0.20052  1.03344  0.99847
7100  105657  0.194969  1.03402  0.998514
7200  105096  0.192828  1.0342  0.998531
7300  104877  0.185539  1.03399  0.998126
7400  105538  0.193912  1.03399  0.998111
7500  106095  0.187727  1.03502  0.998184
7600  106253  0.188804  1.03451  0.99828
7700  106547  0.1954  1.03499  0.99846
7800  105989  0.18627  1.0364  0.998772
7900  105653  0.187716  1.03688  0.998719
8000  105483  0.190311  1.03606  0.998327
8100  105302  0.193933  1.03594  0.998478
8200  106014  0.19581  1.03457  0.998053
8300  105101  0.20191  1.03456  0.998123
8400  106047  0.19542  1.03516  0.998386
8500  104895  0.191903  1.03539  0.998312
8600  105872  0.190618  1.0349  0.998032
8700  105310  0.201288  1.03465  0.997801
8800  106463  0.186383  1.03362  0.997257
8900  105771  0.186895  1.03378  0.997226
9000  105186  0.184894  1.0343  0.997295
9100  106279  0.185397  1.03457  0.99721
9200  105668  0.189388  1.03519  0.997292
9300  106309  0.197024  1.03615  0.997276
9400  106103  0.18573  1.03726  0.997859
9500  105638  0.181689  1.03687  0.998004
9600  105960  0.181275  1.03689  0.998151
9700  105884  0.183653  1.03707  0.998062
9800  106155  0.194364  1.03768  0.998199
9900  105991  0.196216  1.03803  0.998226
