t  meta_n  emi mean_cth  mean_gamma
0  114107  0.44664  0.909162  0.898987
100  105355  0.217273  0.944908  0.866905
200  106024  0.208062  0.947353  0.84626
300  105773  0.197405  0.950712  0.832933
400  105026  0.18966  0.948498  0.827818
500  105159  0.197276  0.945953  0.830728
600  105677  0.201653  0.940719  0.817483
700  104790  0.192991  0.937483  0.817911
800  105180  0.189804  0.938219  0.803098
900  105839  0.192605  0.935498  0.803104
1000  105945  0.191026  0.934096  0.804106
1100  104894  0.188144  0.938748  0.815179
1200  106455  0.19882  0.940336  0.817341
1300  106180  0.186169  0.945446  0.813531
1400  105069  0.179673  0.950348  0.823486
1500  104798  0.186939  0.943255  0.815467
1600  106037  0.182341  0.9517  0.828574
1700  105169  0.187381  0.959821  0.849385
1800  105743  0.186792  0.962809  0.856007
1900  105515  0.189634  0.962977  0.86035
2000  106529  0.18576  0.967576  0.872348
2100  105384  0.18104  0.973119  0.881101
2200  105162  0.186424  0.975303  0.885853
2300  105205  0.185725  0.978754  0.888985
2400  106284  0.192284  0.975564  0.881028
2500  105842  0.185118  0.97676  0.883527
2600  105101  0.178212  0.975566  0.883482
2700  105815  0.194342  0.97819  0.893224
2800  106226  0.185786  0.978237  0.888355
2900  105489  0.184234  0.975952  0.888888
3000  106229  0.185769  0.981609  0.896436
3100  105474  0.184559  0.987845  0.91547
3200  104933  0.181634  0.991273  0.921902
3300  105415  0.187074  0.990342  0.923354
3400  106933  0.192231  0.993039  0.930244
3500  106347  0.196059  0.993358  0.929941
3600  107047  0.195581  0.995476  0.93351
3700  106365  0.189307  0.995428  0.931906
3800  105604  0.190937  0.998124  0.937939
3900  106351  0.186379  0.997551  0.936428
4000  106162  0.187274  0.996633  0.934424
4100  105097  0.186937  0.998356  0.936912
4200  105550  0.191824  1.00267  0.946132
4300  105361  0.178587  1.00703  0.953242
4400  105445  0.18133  1.00986  0.958015
4500  105980  0.185176  1.00732  0.953294
4600  106589  0.186571  1.00543  0.950315
4700  106787  0.188295  1.00692  0.954298
4800  105606  0.185932  1.00863  0.956601
4900  106016  0.185006  1.00882  0.95676
5000  105612  0.18467  1.00815  0.955644
5100  106535  0.184568  1.0072  0.950614
5200  104626  0.173758  1.01058  0.955159
5300  105918  0.184182  1.00912  0.951886
5400  105553  0.187245  1.00799  0.951177
5500  106010  0.185295  1.01061  0.954091
5600  105798  0.179885  1.01047  0.955051
5700  105717  0.183379  1.01083  0.954044
5800  105846  0.185295  1.01069  0.953325
5900  106393  0.188272  1.01295  0.95599
6000  105617  0.176026  1.01027  0.952398
6100  106585  0.180511  1.00629  0.946589
6200  105959  0.186959  1.00657  0.946936
6300  106339  0.183429  1.00786  0.947774
6400  104500  0.177532  1.00847  0.94715
6500  106697  0.19318  1.00905  0.948347
6600  105691  0.19255  1.00966  0.949573
6700  107133  0.179026  1.0078  0.947142
6800  106097  0.185025  1.00806  0.947566
6900  105491  0.179545  1.00926  0.949805
7000  106122  0.191736  1.00594  0.945162
7100  106171  0.183666  1.00834  0.948215
7200  105447  0.188001  1.00737  0.947019
7300  105243  0.183064  1.00736  0.947545
7400  105993  0.180043  1.00815  0.947579
7500  105249  0.175514  1.00722  0.945893
7600  106183  0.184302  1.00711  0.946489
7700  107266  0.183798  1.00783  0.946434
7800  107255  0.185199  1.00702  0.943981
7900  106844  0.189288  1.00477  0.94118
8000  105651  0.180907  1.00854  0.946156
8100  106156  0.182149  1.00847  0.945529
8200  106246  0.178118  1.00553  0.942776
8300  105496  0.185189  1.00247  0.937511
8400  106263  0.174508  1.00044  0.933932
8500  106481  0.183138  1.00072  0.934858
8600  105524  0.183486  1.00089  0.935419
8700  106499  0.179944  1.00077  0.937647
8800  105726  0.17952  1.00066  0.937825
8900  105372  0.181241  1.00418  0.94302
9000  106607  0.175249  1.00382  0.941661
9100  105965  0.181781  1.00202  0.940427
9200  105153  0.178668  1.0058  0.944932
9300  106357  0.176846  1.00635  0.945049
9400  106273  0.17965  1.01196  0.953034
9500  105776  0.178574  1.01665  0.960535
9600  106854  0.184977  1.01773  0.961887
9700  105403  0.173799  1.01241  0.953485
9800  105755  0.175563  1.01449  0.957018
9900  104734  0.175444  1.01124  0.952429
