t  meta_n  emi mean_cth  mean_gamma
0  102182  0.445072  0.910613  0.899466
100  80131  0.271971  0.794241  0.829027
200  79426  0.271246  0.75086  0.740978
300  81858  0.271028  0.717831  0.651421
400  81639  0.265414  0.694133  0.586345
500  80962  0.252265  0.682555  0.528969
600  80814  0.253281  0.66352  0.481011
700  81092  0.260718  0.656092  0.456725
800  80246  0.266337  0.647967  0.432817
900  81310  0.259379  0.640696  0.399363
1000  79760  0.25622  0.631514  0.399405
1100  80692  0.252066  0.629752  0.386759
1200  81317  0.261474  0.627171  0.35867
1300  81484  0.265154  0.615071  0.346015
1400  81957  0.256547  0.612456  0.322752
1500  80887  0.260859  0.6121  0.317084
1600  81283  0.258652  0.611142  0.318501
1700  80505  0.25428  0.603381  0.295634
1800  80963  0.261097  0.600767  0.287191
1900  81826  0.255023  0.602167  0.268597
2000  80090  0.252761  0.600587  0.260648
2100  81112  0.258541  0.603512  0.268349
2200  81183  0.258185  0.603015  0.269669
2300  82317  0.26256  0.600442  0.271803
2400  81495  0.26215  0.599771  0.261683
2500  81408  0.262395  0.597903  0.260877
2600  82003  0.257639  0.597151  0.251803
2700  81323  0.250046  0.598395  0.25674
2800  81373  0.258115  0.596294  0.255857
2900  81258  0.245582  0.598875  0.260444
3000  81244  0.247994  0.600371  0.257686
3100  80568  0.250681  0.6003  0.254686
3200  81465  0.253608  0.597678  0.248636
3300  81592  0.256448  0.595791  0.245695
3400  79758  0.245537  0.59203  0.231202
3500  80682  0.243454  0.592832  0.230297
3600  81303  0.245239  0.591351  0.223559
3700  81078  0.24498  0.590379  0.204414
3800  81088  0.247888  0.588912  0.200253
3900  81905  0.243106  0.590883  0.192006
4000  82215  0.252288  0.58803  0.193473
4100  80029  0.249159  0.58784  0.196919
4200  81029  0.246032  0.58636  0.201555
4300  80347  0.246541  0.586405  0.19632
4400  81496  0.250214  0.584495  0.183672
4500  80936  0.242927  0.583727  0.17827
4600  81753  0.248051  0.582001  0.170662
4700  80791  0.237616  0.583693  0.175617
4800  82310  0.24996  0.583642  0.18159
4900  81742  0.249743  0.584706  0.185121
5000  81082  0.243043  0.583847  0.184405
5100  80411  0.245229  0.585914  0.189782
5200  80910  0.2464  0.588771  0.194118
5300  81815  0.245768  0.589324  0.201937
5400  80542  0.237485  0.590489  0.198226
5500  81130  0.244385  0.588173  0.1921
5600  81592  0.244682  0.589992  0.197183
5700  82434  0.250179  0.588815  0.19574
5800  80427  0.233965  0.59055  0.196944
5900  81526  0.242875  0.589262  0.188248
6000  81390  0.246869  0.589835  0.185674
6100  81541  0.244403  0.588477  0.186846
6200  80840  0.238839  0.591901  0.199647
6300  81350  0.236946  0.590015  0.193084
6400  80932  0.243153  0.591795  0.212007
6500  81694  0.240153  0.593134  0.225114
6600  81574  0.24357  0.595223  0.237575
6700  81657  0.243393  0.59589  0.242628
6800  80861  0.244518  0.59548  0.243773
6900  80711  0.241052  0.597208  0.249184
7000  81131  0.247698  0.596048  0.243583
7100  81486  0.248843  0.595732  0.246334
7200  80963  0.246656  0.596638  0.251396
7300  81060  0.238542  0.59644  0.243792
7400  80917  0.246703  0.595613  0.237461
7500  81578  0.239599  0.594609  0.226556
7600  81033  0.243936  0.593942  0.222478
7700  82396  0.245718  0.593578  0.217746
7800  81215  0.239956  0.591692  0.210924
7900  81592  0.24218  0.592083  0.21597
8000  81120  0.24748  0.591928  0.209122
8100  81325  0.241833  0.590299  0.199237
8200  82233  0.251114  0.588821  0.1963
8300  81894  0.24526  0.586437  0.187964
8400  80774  0.247516  0.587865  0.191897
8500  81942  0.241985  0.588634  0.19384
8600  81485  0.241225  0.587241  0.187845
8700  80662  0.246173  0.584861  0.176296
8800  81923  0.245224  0.582602  0.169955
8900  81394  0.247495  0.583889  0.17556
9000  80848  0.239085  0.583758  0.171153
9100  81849  0.247977  0.58274  0.171729
9200  81417  0.243359  0.581653  0.161169
9300  81782  0.241012  0.58281  0.164021
9400  82004  0.242292  0.58129  0.160414
9500  81293  0.244673  0.579891  0.157448
9600  81702  0.245014  0.580155  0.159333
9700  81193  0.241327  0.579424  0.150143
9800  81088  0.242685  0.579919  0.155188
9900  82712  0.254749  0.581424  0.16308
