t  meta_n  emi mean_cth  mean_gamma
0  103246  0.448976  0.906519  0.899242
100  80259  0.269214  0.773658  0.837345
200  81452  0.286184  0.737217  0.7565
300  79511  0.259273  0.709739  0.669326
400  80500  0.266547  0.682711  0.612324
500  81506  0.26542  0.667853  0.55771
600  80934  0.266677  0.649884  0.510756
700  81535  0.273235  0.638713  0.490794
800  82270  0.260896  0.639654  0.461744
900  82024  0.258937  0.634207  0.455102
1000  81459  0.259826  0.633133  0.440338
1100  81005  0.261051  0.626517  0.408115
1200  79855  0.255612  0.622628  0.398277
1300  80684  0.257653  0.620267  0.393538
1400  81449  0.261477  0.614124  0.378317
1500  80201  0.249335  0.613233  0.377234
1600  80093  0.260022  0.609407  0.367213
1700  80863  0.257726  0.605672  0.34648
1800  81160  0.259952  0.608296  0.343627
1900  80291  0.252825  0.605183  0.336497
2000  80287  0.255183  0.605021  0.328906
2100  81430  0.254371  0.603457  0.321241
2200  80196  0.250794  0.59986  0.319398
2300  81558  0.254371  0.60113  0.318196
2400  79820  0.24949  0.601235  0.330943
2500  80562  0.251054  0.600198  0.329825
2600  80589  0.250895  0.600541  0.334014
2700  81086  0.256205  0.598518  0.323479
2800  81263  0.249981  0.599406  0.319443
2900  81685  0.261291  0.600042  0.322023
3000  80662  0.252052  0.602193  0.335563
3100  81418  0.244432  0.601316  0.332695
3200  81185  0.251616  0.597935  0.303695
3300  81926  0.249886  0.600638  0.310783
3400  82184  0.248472  0.599943  0.318611
3500  80334  0.242987  0.602139  0.312457
3600  81502  0.245666  0.597114  0.298678
3700  80373  0.245254  0.596518  0.300406
3800  80360  0.239686  0.600657  0.316809
3900  81336  0.240674  0.600395  0.330257
4000  81267  0.247733  0.60001  0.32414
4100  80695  0.244174  0.600211  0.315133
4200  80965  0.257589  0.599165  0.315361
4300  81642  0.251149  0.603457  0.332633
4400  80971  0.244811  0.602353  0.327783
4500  81830  0.251993  0.605114  0.342258
4600  82531  0.251743  0.604948  0.348864
4700  80387  0.240277  0.6054  0.352973
4800  81213  0.247595  0.604329  0.340945
4900  79834  0.244108  0.607207  0.350153
5000  80734  0.240909  0.604543  0.334514
5100  80451  0.240307  0.60317  0.325831
5200  81161  0.244521  0.605357  0.330165
5300  81653  0.24262  0.605911  0.34587
5400  81179  0.245082  0.603899  0.344381
5500  80558  0.245862  0.605006  0.347829
5600  81654  0.2477  0.60639  0.350771
5700  81001  0.242995  0.608792  0.358111
5800  81941  0.244949  0.608386  0.357606
5900  81111  0.239219  0.608719  0.353424
6000  80747  0.239825  0.610157  0.359501
6100  80783  0.246117  0.611311  0.364736
6200  80272  0.233039  0.610077  0.357123
6300  81699  0.246645  0.60756  0.349233
6400  81927  0.244432  0.606992  0.348271
6500  81684  0.24149  0.607736  0.352443
6600  80247  0.237113  0.606343  0.35179
6700  81394  0.245516  0.604666  0.343263
6800  80901  0.243167  0.605091  0.348112
6900  81592  0.252878  0.604553  0.345577
7000  81016  0.24493  0.602779  0.334694
7100  81341  0.243649  0.603095  0.339353
7200  81205  0.246861  0.604647  0.345904
7300  79999  0.239648  0.604812  0.34646
7400  81461  0.24238  0.606393  0.353546
7500  81639  0.251059  0.605584  0.3473
7600  81363  0.246354  0.606048  0.344964
7700  81616  0.248784  0.60606  0.348177
7800  81657  0.246726  0.605959  0.352288
7900  81010  0.245044  0.60467  0.347474
8000  81544  0.247216  0.602954  0.343395
8100  81156  0.245447  0.60094  0.336343
8200  81134  0.238218  0.600694  0.335089
8300  81260  0.249424  0.60074  0.335575
8400  80903  0.247776  0.602755  0.348066
8500  80987  0.239436  0.602258  0.339491
8600  80657  0.238562  0.603579  0.342523
8700  81771  0.24569  0.605947  0.353426
8800  80925  0.241599  0.605153  0.353525
8900  80842  0.251169  0.606105  0.358784
9000  81129  0.25336  0.607054  0.362496
9100  81754  0.249337  0.607427  0.365951
9200  81571  0.253128  0.607325  0.36884
9300  81109  0.24687  0.608244  0.373202
9400  81029  0.246151  0.608539  0.377963
9500  81489  0.24935  0.606797  0.3719
9600  81756  0.250938  0.604537  0.364713
9700  80756  0.24365  0.60317  0.361346
9800  81665  0.25952  0.605664  0.373644
9900  80644  0.249492  0.607818  0.384598
