t  meta_n  emi mean_cth  mean_gamma
0  101817  0.444568  0.911661  0.898875
100  78704  0.310384  0.681808  0.882409
200  78041  0.31741  0.663951  0.857946
300  78299  0.326585  0.664816  0.85249
400  78794  0.311071  0.667996  0.842641
500  79052  0.323229  0.666535  0.851844
600  78387  0.320523  0.670223  0.858685
700  78689  0.326835  0.667563  0.863512
800  79068  0.309793  0.66999  0.855937
900  78710  0.321451  0.675064  0.868623
1000  78942  0.310112  0.672271  0.861603
1100  78698  0.320153  0.67876  0.87197
1200  78581  0.317427  0.679627  0.875763
1300  79383  0.327175  0.679002  0.881103
1400  78742  0.311945  0.678147  0.875334
1500  78501  0.308052  0.686863  0.88422
1600  78743  0.309369  0.690784  0.890392
1700  79290  0.315894  0.694375  0.903217
1800  78649  0.309013  0.698821  0.904637
1900  78403  0.311269  0.703162  0.915134
2000  79204  0.314031  0.707923  0.922221
2100  78812  0.309619  0.71411  0.932365
2200  79050  0.307645  0.710957  0.930814
2300  79793  0.315403  0.711669  0.929739
2400  79277  0.302313  0.717033  0.934666
2500  79503  0.308535  0.720614  0.939194
2600  78827  0.301302  0.722843  0.942829
2700  79925  0.312106  0.72299  0.948975
2800  79475  0.301713  0.72783  0.953143
2900  79833  0.313533  0.725401  0.955302
3000  79487  0.321228  0.728857  0.959045
3100  79590  0.312269  0.731604  0.965523
3200  79498  0.310661  0.733594  0.970577
3300  78791  0.315379  0.735238  0.973856
3400  79492  0.320157  0.735421  0.977741
3500  79303  0.316787  0.737071  0.980293
3600  78684  0.32272  0.738376  0.981343
3700  78484  0.30859  0.741689  0.985448
3800  79448  0.328437  0.73979  0.984599
3900  80060  0.321427  0.741594  0.985553
4000  79920  0.319877  0.742557  0.986477
4100  78544  0.318965  0.743489  0.989413
4200  78718  0.307872  0.746252  0.989073
4300  78506  0.312136  0.745984  0.98856
4400  78508  0.314544  0.744767  0.987788
4500  79388  0.330503  0.744635  0.988361
4600  79693  0.314367  0.745733  0.990134
4700  78842  0.307165  0.745273  0.988941
4800  79423  0.323448  0.7471  0.991314
4900  79123  0.315579  0.748652  0.99227
5000  80593  0.323547  0.75018  0.993939
5100  79222  0.307202  0.750853  0.994949
5200  78552  0.314398  0.750478  0.99461
5300  79294  0.316374  0.750182  0.994498
5400  79306  0.327904  0.751662  0.996098
5500  80068  0.319448  0.751941  0.995648
5600  79560  0.321157  0.751993  0.995328
5700  78782  0.309125  0.754259  0.996055
5800  78978  0.312034  0.752627  0.995413
5900  79401  0.319063  0.753348  0.996058
6000  80386  0.309781  0.752838  0.99475
6100  79486  0.317303  0.75434  0.995678
6200  78838  0.314577  0.753839  0.995775
6300  79865  0.31173  0.75356  0.995831
6400  79496  0.313513  0.753975  0.996428
6500  78759  0.302351  0.754238  0.996718
6600  79163  0.305106  0.75589  0.996742
6700  80651  0.318123  0.755644  0.997349
6800  78768  0.308689  0.756679  0.997691
6900  79289  0.309297  0.757269  0.997491
7000  78549  0.311088  0.756441  0.997631
7100  79396  0.31253  0.756802  0.997782
7200  78361  0.304291  0.757521  0.998257
7300  79272  0.307656  0.758014  0.998682
7400  79130  0.315519  0.758235  0.998577
7500  78882  0.307933  0.757639  0.99873
7600  79479  0.31391  0.757259  0.998945
7700  78544  0.315511  0.757672  0.999011
7800  80313  0.316401  0.757072  0.999261
7900  78530  0.320165  0.756662  0.999205
8000  78803  0.302179  0.756852  0.999289
8100  78480  0.30293  0.757109  0.999229
8200  79016  0.308574  0.758006  0.999419
8300  79066  0.313471  0.758583  0.999221
8400  79050  0.309979  0.758918  0.999388
8500  80059  0.320333  0.759872  0.999603
8600  79077  0.301807  0.760581  0.999505
8700  78645  0.308936  0.760634  0.99952
8800  78385  0.316641  0.760436  0.999298
8900  79331  0.319299  0.760783  0.999246
9000  80039  0.313879  0.760094  0.999331
9100  79798  0.309259  0.759504  0.999132
9200  78868  0.309911  0.759378  0.999215
9300  79221  0.326976  0.75887  0.999026
9400  80012  0.31205  0.758356  0.998916
9500  78774  0.311968  0.759146  0.99918
9600  78737  0.311589  0.759244  0.999301
9700  78962  0.312988  0.759634  0.999371
9800  79124  0.31069  0.759521  0.999219
9900  78108  0.304926  0.759658  0.999494
