t  meta_n  emi mean_cth  mean_gamma
0  102324  0.444408  0.909023  0.899279
100  80649  0.288647  0.735822  0.862761
200  80146  0.272538  0.725006  0.829471
300  79688  0.275749  0.717258  0.795704
400  80456  0.273887  0.711083  0.77524
500  81241  0.275117  0.70032  0.758147
600  79870  0.286756  0.693368  0.74136
700  80048  0.266501  0.698046  0.737732
800  80443  0.270435  0.69865  0.740193
900  82251  0.272321  0.698309  0.729266
1000  80455  0.271735  0.698581  0.741077
1100  81181  0.266851  0.700688  0.751423
1200  82000  0.269361  0.700585  0.757613
1300  79916  0.254563  0.701575  0.750001
1400  80274  0.258364  0.704261  0.74552
1500  80997  0.259791  0.691905  0.721436
1600  80454  0.250788  0.685923  0.697785
1700  81374  0.259222  0.690033  0.704088
1800  81401  0.261103  0.689433  0.707229
1900  79277  0.262411  0.683463  0.712109
2000  80417  0.265848  0.678696  0.700973
2100  80537  0.266504  0.673058  0.70156
2200  81346  0.263499  0.682716  0.723946
2300  80464  0.260234  0.683496  0.723265
2400  81704  0.262519  0.687942  0.736323
2500  81538  0.265937  0.687926  0.742497
2600  80532  0.263869  0.692043  0.753732
2700  79813  0.261667  0.698249  0.762935
2800  79891  0.255786  0.700912  0.779637
2900  81103  0.258098  0.698826  0.773871
3000  80458  0.260835  0.704858  0.789861
3100  80984  0.249638  0.705631  0.786777
3200  81359  0.262618  0.706944  0.790441
3300  81534  0.251428  0.703367  0.783792
3400  81050  0.250842  0.702677  0.779938
3500  80926  0.256622  0.704634  0.779078
3600  80085  0.258625  0.697771  0.772664
3700  80444  0.256763  0.694526  0.775348
3800  81468  0.269009  0.694294  0.779425
3900  80353  0.247423  0.691955  0.771286
4000  80278  0.257969  0.688368  0.764973
4100  81299  0.260031  0.68766  0.76533
4200  81027  0.255967  0.689343  0.767721
4300  80770  0.252553  0.688714  0.764931
4400  81165  0.254166  0.687991  0.763999
4500  81753  0.261125  0.68547  0.756876
4600  79599  0.248978  0.68701  0.765951
4700  81274  0.255649  0.688413  0.770625
4800  81132  0.263924  0.690387  0.774987
4900  81456  0.256785  0.693026  0.782653
5000  79998  0.248431  0.689636  0.774319
5100  79817  0.249834  0.692375  0.777606
5200  81453  0.26381  0.689229  0.76523
5300  80566  0.249413  0.689037  0.76804
5400  80466  0.259816  0.688167  0.768695
5500  80656  0.252503  0.690395  0.775164
5600  80628  0.256981  0.690312  0.775854
5700  81272  0.25992  0.69365  0.789566
5800  79714  0.238389  0.695045  0.789051
5900  81249  0.256335  0.690852  0.779556
6000  79999  0.249652  0.692818  0.789329
6100  80223  0.259961  0.692739  0.78913
6200  81242  0.258791  0.695154  0.803246
6300  80862  0.258799  0.6958  0.808917
6400  79386  0.243934  0.6949  0.803867
6500  80771  0.265363  0.697854  0.813137
6600  80612  0.263924  0.699903  0.815482
6700  81736  0.257972  0.700758  0.817345
6800  81311  0.253338  0.701786  0.821808
6900  80599  0.252359  0.702103  0.817857
7000  81054  0.254149  0.69787  0.809654
7100  81341  0.249393  0.697667  0.811829
7200  81377  0.254657  0.695339  0.806424
7300  81011  0.252658  0.693804  0.804163
7400  80188  0.256477  0.696402  0.810593
7500  81007  0.250198  0.69582  0.810685
7600  81260  0.251365  0.695798  0.81385
7700  81349  0.254605  0.695867  0.812797
7800  81085  0.253721  0.696245  0.814199
7900  81079  0.254232  0.695165  0.81431
8000  81466  0.262268  0.693265  0.809226
8100  79849  0.256701  0.690516  0.802764
8200  80850  0.247874  0.69243  0.806793
8300  82386  0.256811  0.691186  0.802813
8400  80567  0.248171  0.691988  0.805147
8500  80698  0.251767  0.692737  0.806952
8600  80937  0.254152  0.692597  0.807302
8700  81323  0.254178  0.691207  0.804951
8800  81172  0.253482  0.692428  0.809038
8900  80875  0.24449  0.690834  0.806723
9000  80290  0.257498  0.690417  0.804637
9100  80875  0.255113  0.691234  0.805946
9200  80968  0.251416  0.692467  0.807776
9300  80124  0.247101  0.691488  0.805697
9400  81277  0.255334  0.690078  0.803939
9500  80829  0.254424  0.688824  0.802621
9600  80865  0.254387  0.691101  0.802729
9700  80116  0.253957  0.689615  0.800863
9800  80881  0.260454  0.688536  0.798728
9900  81661  0.260908  0.688413  0.798315
