t  meta_n  emi mean_cth  mean_gamma
0  102146  0.444552  0.909793  0.899365
100  80070  0.28176  0.741516  0.868126
200  80216  0.276798  0.730456  0.830541
300  79933  0.26528  0.717386  0.792764
400  80625  0.280721  0.704094  0.756687
500  80734  0.271234  0.702449  0.743229
600  81177  0.259469  0.700116  0.730131
700  80551  0.26331  0.688825  0.707126
800  80160  0.26735  0.685676  0.691472
900  80073  0.261888  0.679785  0.682613
1000  81526  0.260307  0.679197  0.681508
1100  80845  0.268568  0.670603  0.662473
1200  79470  0.266046  0.671324  0.663301
1300  79953  0.258565  0.66643  0.655459
1400  80877  0.261529  0.658016  0.652364
1500  80124  0.261026  0.664006  0.663494
1600  80128  0.256525  0.666946  0.656366
1700  80023  0.255562  0.66702  0.661585
1800  81282  0.266289  0.664392  0.656872
1900  81198  0.259693  0.661719  0.642569
2000  81021  0.265626  0.656401  0.638281
2100  81744  0.265306  0.655817  0.640221
2200  80869  0.25567  0.657373  0.639376
2300  79856  0.260182  0.658636  0.652008
2400  79576  0.249249  0.660311  0.658473
2500  80312  0.249941  0.664427  0.665483
2600  81038  0.259859  0.666871  0.665571
2700  80665  0.25764  0.662764  0.661642
2800  81137  0.247297  0.664122  0.663255
2900  81334  0.256097  0.661309  0.661974
3000  80820  0.262577  0.65973  0.667266
3100  81902  0.259048  0.662133  0.673001
3200  81978  0.263625  0.658124  0.666082
3300  81171  0.256257  0.65769  0.666944
3400  80953  0.252607  0.657313  0.662289
3500  80823  0.252822  0.655666  0.657941
3600  80117  0.253358  0.652409  0.649976
3700  81204  0.252653  0.653248  0.657196
3800  81336  0.253949  0.654983  0.659801
3900  81469  0.253169  0.65363  0.664769
4000  80902  0.256485  0.654866  0.654567
4100  81255  0.24287  0.653746  0.651317
4200  81073  0.248207  0.652488  0.647029
4300  81134  0.2575  0.652998  0.649211
4400  80460  0.257214  0.651029  0.641618
4500  81176  0.245221  0.65012  0.634358
4600  81252  0.252725  0.649033  0.633924
4700  81770  0.246612  0.65003  0.639972
4800  80957  0.243926  0.651194  0.645659
4900  80627  0.251444  0.650956  0.644316
5000  81506  0.248259  0.65475  0.653575
5100  81283  0.248018  0.655847  0.659282
5200  80464  0.252366  0.651599  0.644005
5300  79449  0.231741  0.651698  0.643357
5400  81540  0.240449  0.654408  0.64706
5500  81279  0.236076  0.651869  0.640003
5600  80652  0.235778  0.654173  0.647379
5700  81632  0.239401  0.656269  0.658988
5800  80776  0.249014  0.656301  0.66248
5900  81513  0.245556  0.654884  0.657107
6000  80750  0.244902  0.653008  0.65106
6100  81167  0.247425  0.650636  0.643313
6200  80938  0.255701  0.65377  0.657548
6300  80515  0.250796  0.653883  0.659194
6400  81607  0.25163  0.652663  0.660109
6500  80972  0.255727  0.653793  0.668122
6600  80611  0.247345  0.655495  0.672782
6700  80397  0.250009  0.654727  0.667377
6800  80657  0.249188  0.652359  0.663755
6900  80119  0.246468  0.651662  0.665321
7000  81124  0.267262  0.651602  0.667363
7100  80895  0.253201  0.650649  0.661394
7200  80650  0.25469  0.651471  0.666389
7300  80091  0.255302  0.651018  0.670253
7400  80726  0.256067  0.649417  0.671811
7500  80088  0.248169  0.650598  0.67777
7600  80946  0.257433  0.652115  0.682423
7700  81356  0.262105  0.653019  0.685873
7800  81547  0.25816  0.654284  0.685067
7900  80686  0.262278  0.655241  0.692368
8000  81239  0.251622  0.655187  0.691931
8100  80397  0.2571  0.652589  0.686554
8200  81616  0.253326  0.655214  0.695602
8300  80969  0.254495  0.656105  0.695035
8400  81411  0.257069  0.655414  0.692618
8500  80729  0.259773  0.654746  0.691584
8600  80496  0.258152  0.656991  0.696852
8700  81255  0.251906  0.655538  0.68935
8800  80336  0.254891  0.655608  0.688806
8900  81286  0.254295  0.653502  0.678539
9000  80668  0.256715  0.651196  0.673476
9100  81512  0.255407  0.650685  0.671611
9200  80688  0.257007  0.649719  0.670713
9300  81241  0.256358  0.649471  0.665844
9400  81052  0.253516  0.650096  0.669403
9500  81487  0.26152  0.651621  0.673319
9600  80402  0.249262  0.654692  0.682694
9700  80695  0.251552  0.654142  0.680288
9800  80411  0.254335  0.654362  0.677821
9900  80733  0.24819  0.655103  0.681616
