t  meta_n  emi mean_cth  mean_gamma
0  102962  0.445064  0.91064  0.899583
100  80408  0.291577  0.731073  0.877798
200  79955  0.282695  0.72632  0.849745
300  79467  0.279868  0.717193  0.827281
400  79540  0.262663  0.716694  0.81038
500  81101  0.270045  0.713579  0.802112
600  79648  0.267609  0.710644  0.794175
700  79710  0.271571  0.708787  0.784084
800  79815  0.280158  0.707368  0.780915
900  81126  0.269543  0.707156  0.785195
1000  80757  0.276102  0.707279  0.785497
1100  80314  0.27398  0.699678  0.76948
1200  81647  0.271465  0.703021  0.775139
1300  79528  0.26489  0.70298  0.772657
1400  80881  0.275709  0.705913  0.779304
1500  80214  0.276665  0.701663  0.777726
1600  80056  0.272228  0.706492  0.79397
1700  80983  0.270689  0.705463  0.797514
1800  80133  0.26499  0.706194  0.797006
1900  80914  0.273701  0.700905  0.78531
2000  80185  0.273666  0.702364  0.789436
2100  80033  0.263147  0.704317  0.795721
2200  80854  0.27178  0.712717  0.805276
2300  80760  0.271305  0.715577  0.819545
2400  79385  0.255988  0.715562  0.810193
2500  80445  0.262551  0.718716  0.81319
2600  80628  0.257597  0.717582  0.81166
2700  80538  0.258343  0.724215  0.829476
2800  80251  0.270917  0.728647  0.840391
2900  80736  0.265257  0.729323  0.840885
3000  79965  0.268383  0.728201  0.841906
3100  81256  0.257924  0.730296  0.835202
3200  81532  0.261352  0.736175  0.845683
3300  80552  0.243683  0.740623  0.85763
3400  80342  0.258403  0.739761  0.854108
3500  80426  0.246504  0.738749  0.844479
3600  80370  0.242622  0.739291  0.848837
3700  80426  0.258425  0.74171  0.855933
3800  80492  0.257031  0.742461  0.860934
3900  80683  0.248596  0.74483  0.863668
4000  80743  0.261201  0.740128  0.85905
4100  81040  0.250165  0.741978  0.860949
4200  79932  0.257217  0.738884  0.852454
4300  79420  0.243483  0.736665  0.853281
4400  81731  0.258257  0.743411  0.866962
4500  80928  0.254917  0.735234  0.854947
4600  80100  0.24544  0.734921  0.857629
4700  81097  0.254674  0.731309  0.85117
4800  81214  0.262126  0.733867  0.856932
4900  80891  0.25281  0.736652  0.860547
5000  80837  0.265448  0.736817  0.858125
5100  80322  0.248063  0.738012  0.860278
5200  80079  0.248866  0.735416  0.857893
5300  80731  0.246342  0.729356  0.852257
5400  81090  0.257668  0.724784  0.845673
5500  80782  0.263659  0.722493  0.844652
5600  79963  0.25904  0.722111  0.848049
5700  81307  0.260754  0.721075  0.846147
5800  80654  0.256881  0.722203  0.849888
5900  80535  0.262729  0.725135  0.853038
6000  80467  0.252542  0.724172  0.849496
6100  80789  0.261742  0.728671  0.855866
6200  80809  0.25697  0.729955  0.857481
6300  79829  0.255658  0.728862  0.860607
6400  80087  0.259278  0.732739  0.863857
6500  80470  0.249966  0.728427  0.857666
6600  81166  0.249931  0.72555  0.85505
6700  80788  0.262593  0.725211  0.855185
6800  81120  0.252877  0.719295  0.84388
6900  79996  0.250785  0.720888  0.847479
7000  82191  0.270054  0.716346  0.843675
7100  79206  0.257751  0.715234  0.844483
7200  80716  0.262282  0.71355  0.840706
7300  80512  0.251885  0.71226  0.83945
7400  80480  0.260967  0.716715  0.843269
7500  81072  0.264763  0.715765  0.84125
7600  80498  0.269233  0.715343  0.840923
7700  79496  0.250618  0.708818  0.834128
7800  81562  0.264839  0.713512  0.841597
7900  81735  0.261362  0.707415  0.833126
8000  80739  0.257206  0.708998  0.835484
8100  81525  0.261041  0.709174  0.834511
8200  80000  0.24902  0.704257  0.826274
8300  80180  0.261601  0.704906  0.828752
8400  80785  0.260541  0.704909  0.826073
8500  81345  0.253126  0.698754  0.816541
8600  80973  0.259345  0.702133  0.821259
8700  81335  0.263392  0.706131  0.82791
8800  80440  0.261098  0.711487  0.835573
8900  80664  0.258325  0.711405  0.836579
9000  80661  0.260403  0.714054  0.843126
9100  80804  0.259364  0.71489  0.844757
9200  80664  0.260012  0.715232  0.843241
9300  80620  0.256925  0.709483  0.835168
9400  80965  0.2649  0.712522  0.841127
9500  80666  0.260485  0.713367  0.841509
9600  80867  0.251838  0.716603  0.844994
9700  80335  0.259384  0.712385  0.839891
9800  80666  0.25768  0.713885  0.84281
9900  80263  0.255205  0.716146  0.84647
