t  meta_n  emi mean_cth  mean_gamma
0  102692  0.446312  0.909908  0.899613
100  81367  0.28436  0.763543  0.853692
200  81100  0.263542  0.748536  0.810546
300  80804  0.268265  0.729754  0.767452
400  81845  0.25478  0.720042  0.722678
500  80781  0.25921  0.699921  0.683351
600  81342  0.256252  0.687657  0.651664
700  79922  0.263757  0.674804  0.631822
800  81057  0.258098  0.668412  0.601056
900  81213  0.275356  0.653258  0.573913
1000  81280  0.255305  0.64793  0.550419
1100  81134  0.270072  0.641597  0.554774
1200  80614  0.258754  0.645859  0.562427
1300  80569  0.272879  0.640835  0.542655
1400  81212  0.25736  0.64437  0.546513
1500  79371  0.253731  0.640525  0.523105
1600  80840  0.260337  0.634086  0.518087
1700  80668  0.260008  0.631455  0.497939
1800  81082  0.250996  0.630741  0.482055
1900  81356  0.246651  0.631599  0.484261
2000  80929  0.23917  0.634469  0.482204
2100  81771  0.245157  0.636115  0.495167
2200  80030  0.245834  0.636936  0.490248
2300  82237  0.242552  0.636428  0.491154
2400  80792  0.248413  0.630884  0.489621
2500  80250  0.245291  0.628993  0.480317
2600  81135  0.243655  0.634781  0.497008
2700  81284  0.249523  0.635469  0.504625
2800  81200  0.24554  0.638218  0.520619
2900  80701  0.246566  0.636959  0.517331
3000  81580  0.253835  0.63666  0.519952
3100  80849  0.243405  0.636729  0.5112
3200  81782  0.243513  0.636343  0.507002
3300  81380  0.242109  0.63562  0.501989
3400  80666  0.239986  0.633982  0.501952
3500  81110  0.241409  0.632165  0.49937
3600  81042  0.244046  0.630941  0.492234
3700  81695  0.252908  0.630776  0.502671
3800  81519  0.24745  0.628689  0.502111
3900  80583  0.245665  0.630214  0.508768
4000  81267  0.245706  0.628798  0.505317
4100  80575  0.24813  0.631606  0.511984
4200  80493  0.248273  0.628884  0.504632
4300  80744  0.250431  0.629844  0.509144
4400  81181  0.254921  0.629551  0.504954
4500  81358  0.243113  0.627729  0.503041
4600  82007  0.249191  0.629989  0.522468
4700  81764  0.257899  0.63173  0.528364
4800  81567  0.248997  0.632224  0.528531
4900  81562  0.251069  0.632364  0.523535
5000  81183  0.251662  0.630459  0.520288
5100  81893  0.245894  0.629676  0.517317
5200  81708  0.253156  0.628531  0.521101
5300  81992  0.255872  0.630882  0.535025
5400  80968  0.251351  0.629869  0.536085
5500  81213  0.254945  0.628237  0.525267
5600  81685  0.253167  0.630146  0.534808
5700  81663  0.256406  0.629617  0.528065
5800  81417  0.25187  0.628363  0.517342
5900  81419  0.248308  0.629601  0.523309
6000  80445  0.24167  0.629423  0.525203
6100  81355  0.248475  0.62675  0.517679
6200  81190  0.257684  0.627782  0.52561
6300  80863  0.250949  0.627826  0.527359
6400  81006  0.24933  0.626385  0.522819
6500  80567  0.247229  0.627639  0.520329
6600  81118  0.252652  0.626618  0.517977
6700  81755  0.253471  0.624681  0.514713
6800  80812  0.252321  0.625559  0.51444
6900  80563  0.252857  0.626594  0.514773
7000  81783  0.25123  0.625256  0.51224
7100  80992  0.252104  0.624806  0.511389
7200  81274  0.247863  0.626037  0.515405
7300  80829  0.246468  0.628457  0.524016
7400  81253  0.249065  0.630201  0.530655
7500  80918  0.244472  0.628058  0.522117
7600  81008  0.251573  0.626643  0.51902
7700  80919  0.250237  0.626564  0.514055
7800  80431  0.247982  0.626548  0.52243
7900  80632  0.247433  0.625181  0.518344
8000  81207  0.252623  0.627232  0.520292
8100  81397  0.250631  0.628241  0.520388
8200  81814  0.255234  0.628306  0.523609
8300  80964  0.246575  0.627079  0.517683
8400  81636  0.252139  0.625458  0.512922
8500  81502  0.244163  0.624429  0.509214
8600  80114  0.246622  0.624254  0.512767
8700  81536  0.256958  0.626298  0.521873
8800  81339  0.255908  0.626328  0.524879
8900  80220  0.245393  0.626362  0.528427
9000  80699  0.246128  0.626051  0.529063
9100  81034  0.247867  0.625725  0.528804
9200  80764  0.256659  0.623788  0.524053
9300  80784  0.250852  0.621657  0.515342
9400  81459  0.25183  0.622547  0.519641
9500  81175  0.257384  0.623972  0.522866
9600  81701  0.257169  0.624323  0.525183
9700  80376  0.25688  0.622658  0.51899
9800  81511  0.260235  0.617912  0.499498
9900  81282  0.256879  0.617917  0.502189
