t  meta_n  emi mean_cth  mean_gamma
0  102334  0.445328  0.908927  0.899028
100  75570  0.29772  0.654587  0.872675
200  77604  0.344731  0.604887  0.852938
300  76102  0.35154  0.590504  0.839329
400  76768  0.367236  0.580705  0.819647
500  76678  0.357122  0.578687  0.802443
600  76269  0.353811  0.572641  0.781522
700  77260  0.356195  0.565905  0.786825
800  76539  0.356516  0.555706  0.758481
900  76773  0.346165  0.558989  0.753613
1000  77197  0.358075  0.556811  0.7581
1100  76542  0.355248  0.566183  0.775381
1200  76092  0.3596  0.556616  0.760573
1300  77119  0.362032  0.555914  0.759417
1400  76929  0.359169  0.556403  0.760881
1500  76598  0.362061  0.551415  0.747063
1600  76245  0.36306  0.54986  0.734773
1700  77343  0.356691  0.54893  0.72482
1800  76333  0.34727  0.551958  0.728196
1900  75793  0.357492  0.548208  0.736685
2000  76944  0.352703  0.550531  0.728224
2100  76154  0.355216  0.543882  0.716016
2200  76783  0.351783  0.547981  0.727876
2300  76903  0.352575  0.544472  0.71391
2400  76690  0.35683  0.54633  0.710655
2500  76389  0.348153  0.545333  0.70433
2600  77529  0.34976  0.538863  0.698988
2700  77442  0.345367  0.541363  0.692574
2800  76303  0.35475  0.54331  0.701267
2900  77097  0.351468  0.544199  0.710237
3000  76214  0.356488  0.538906  0.700837
3100  77168  0.348916  0.541583  0.693839
3200  77070  0.357542  0.541965  0.69953
3300  77271  0.351435  0.55024  0.709626
3400  76191  0.348987  0.553079  0.72039
3500  77430  0.349284  0.550242  0.714279
3600  77014  0.351198  0.556553  0.731404
3700  77804  0.339594  0.562094  0.738212
3800  76717  0.355411  0.557022  0.721783
3900  77547  0.354841  0.561407  0.734694
4000  76848  0.350725  0.566537  0.742671
4100  76947  0.357786  0.565737  0.745221
4200  77167  0.351164  0.560093  0.725804
4300  76631  0.356957  0.559208  0.722395
4400  75574  0.353671  0.568419  0.74192
4500  77413  0.352245  0.562421  0.722722
4600  77404  0.353509  0.562679  0.72715
4700  76621  0.34674  0.557572  0.718247
4800  77010  0.35407  0.563142  0.740761
4900  76118  0.340999  0.565066  0.746662
5000  77407  0.352797  0.567628  0.752805
5100  76757  0.347968  0.569031  0.75454
5200  76969  0.360015  0.573064  0.764998
5300  76739  0.354855  0.575905  0.767212
5400  77868  0.352985  0.581963  0.776621
5500  76290  0.350828  0.580664  0.771808
5600  76053  0.341102  0.585338  0.781743
5700  76332  0.34962  0.589794  0.789434
5800  76809  0.354765  0.590203  0.786194
5900  77457  0.342147  0.585323  0.770105
6000  76821  0.340716  0.579221  0.752734
6100  76915  0.339827  0.594009  0.78922
6200  78174  0.349298  0.584898  0.770157
6300  76198  0.347555  0.572328  0.734213
6400  77461  0.3416  0.569482  0.739637
6500  76960  0.343241  0.566509  0.730107
6600  77082  0.341987  0.567504  0.724338
6700  77328  0.338662  0.567463  0.719824
6800  76953  0.342694  0.563783  0.711351
6900  77480  0.343752  0.561768  0.706501
7000  76361  0.345721  0.56228  0.715411
7100  77150  0.337974  0.567233  0.726359
7200  76823  0.345281  0.561015  0.710923
7300  76657  0.344046  0.550698  0.685608
7400  76481  0.340382  0.547089  0.675163
7500  77084  0.335688  0.541679  0.664845
7600  76570  0.348127  0.548045  0.680311
7700  77164  0.337268  0.551867  0.688555
7800  76454  0.340283  0.549822  0.685347
7900  76480  0.33825  0.541895  0.654193
8000  76420  0.338617  0.545101  0.654893
8100  76902  0.343349  0.539645  0.642859
8200  75846  0.336247  0.537713  0.638178
8300  75949  0.341925  0.535084  0.631347
8400  76114  0.339067  0.531437  0.616173
8500  77990  0.336317  0.529175  0.609299
8600  77023  0.348605  0.526481  0.6044
8700  77948  0.341828  0.519912  0.578113
8800  76399  0.33777  0.524959  0.595106
8900  76686  0.344849  0.52934  0.614174
9000  76280  0.341357  0.536256  0.629957
9100  75909  0.33996  0.531743  0.624788
9200  77256  0.350719  0.530346  0.613391
9300  76554  0.334187  0.532559  0.623749
9400  77672  0.357463  0.53315  0.621371
9500  77607  0.34551  0.528993  0.609011
9600  76586  0.347641  0.527014  0.610393
9700  77184  0.345678  0.525681  0.609687
9800  75732  0.337368  0.519514  0.595023
9900  76199  0.344629  0.520045  0.599656
