t  meta_n  emi mean_cth  mean_gamma
0  103793  0.445904  0.908632  0.899286
100  81413  0.278414  0.759279  0.858068
200  80638  0.26194  0.741577  0.814624
300  80482  0.261672  0.730029  0.781565
400  80468  0.257519  0.710824  0.733096
500  80730  0.26783  0.697127  0.705902
600  80357  0.257596  0.689771  0.668062
700  80701  0.260511  0.68897  0.662191
800  80532  0.258031  0.690163  0.658478
900  81006  0.270254  0.676544  0.633404
1000  80723  0.255682  0.665957  0.602666
1100  80223  0.259486  0.658051  0.587244
1200  81920  0.267503  0.650967  0.574538
1300  82384  0.269927  0.649857  0.551949
1400  80201  0.25901  0.645587  0.543051
1500  81256  0.262446  0.639256  0.524154
1600  80663  0.264048  0.638394  0.533116
1700  80492  0.256483  0.635409  0.528103
1800  81548  0.264736  0.638881  0.534355
1900  80697  0.260012  0.642121  0.546034
2000  80373  0.255602  0.64226  0.547889
2100  80522  0.253946  0.640449  0.534729
2200  80364  0.24845  0.63384  0.514869
2300  81140  0.259319  0.632289  0.519228
2400  81572  0.261818  0.633366  0.529297
2500  81537  0.263793  0.629548  0.527675
2600  81042  0.253164  0.626911  0.507654
2700  80709  0.257277  0.63082  0.531716
2800  81346  0.25469  0.634711  0.545789
2900  80789  0.256926  0.634637  0.537739
3000  81130  0.259464  0.635322  0.546689
3100  80281  0.259803  0.63311  0.545458
3200  81327  0.262354  0.6302  0.537734
3300  80356  0.249502  0.632372  0.546456
3400  80975  0.247922  0.63338  0.545792
3500  81265  0.247563  0.638996  0.56237
3600  80778  0.25251  0.641358  0.570922
3700  81888  0.251976  0.638244  0.563316
3800  81876  0.251431  0.637625  0.564313
3900  81284  0.256431  0.637185  0.573749
4000  80488  0.24919  0.640276  0.579489
4100  81230  0.255244  0.641656  0.580878
4200  80617  0.246605  0.640587  0.575577
4300  79909  0.252885  0.64448  0.590225
4400  81092  0.242743  0.648486  0.599866
4500  80804  0.253547  0.647126  0.595715
4600  80962  0.24158  0.649485  0.608039
4700  82046  0.251024  0.6469  0.596833
4800  81422  0.242924  0.648641  0.605969
4900  81786  0.245795  0.650101  0.606501
5000  80151  0.248675  0.648165  0.60558
5100  82694  0.251041  0.648636  0.606038
5200  79919  0.248824  0.650528  0.613607
5300  80851  0.246914  0.65221  0.619359
5400  81199  0.253981  0.654167  0.625588
5500  80495  0.2445  0.654672  0.631015
5600  80975  0.241956  0.654727  0.634229
5700  82183  0.25037  0.655458  0.635287
5800  82023  0.248589  0.655463  0.641114
5900  81554  0.247915  0.657568  0.646663
6000  80992  0.241412  0.657177  0.639763
6100  80775  0.236823  0.657414  0.638383
6200  82228  0.252789  0.656023  0.639065
6300  81323  0.251108  0.655895  0.638739
6400  82038  0.252006  0.656207  0.638757
6500  81367  0.243064  0.6568  0.636766
6600  80912  0.24256  0.655655  0.63637
6700  81937  0.247823  0.657025  0.640551
6800  81286  0.244721  0.654584  0.634564
6900  80809  0.243836  0.65555  0.634271
7000  81047  0.247924  0.653847  0.626185
7100  82258  0.242962  0.654034  0.632782
7200  80151  0.235231  0.65414  0.633431
7300  81246  0.248829  0.653145  0.633053
7400  80368  0.237399  0.653537  0.635002
7500  81011  0.255169  0.653358  0.634024
7600  81398  0.242746  0.653652  0.631174
7700  81785  0.24244  0.655031  0.637202
7800  80902  0.245555  0.653492  0.630213
7900  81445  0.253253  0.653266  0.63049
8000  80723  0.240276  0.652284  0.627203
8100  80250  0.239994  0.654024  0.6314
8200  80284  0.239763  0.649745  0.61885
8300  80768  0.24338  0.647563  0.610265
8400  81347  0.239943  0.650318  0.619863
8500  81812  0.250092  0.648643  0.611475
8600  80912  0.247333  0.647436  0.610778
8700  81370  0.251404  0.649279  0.617504
8800  80766  0.244415  0.649244  0.617645
8900  80636  0.240263  0.651  0.621066
9000  80113  0.239463  0.650547  0.615324
9100  81385  0.242361  0.650788  0.616874
9200  81396  0.246179  0.650816  0.619806
9300  80574  0.248725  0.652076  0.621751
9400  81488  0.24794  0.651925  0.619419
9500  82306  0.249535  0.654951  0.634379
9600  80850  0.248004  0.655528  0.636041
9700  81318  0.2508  0.656094  0.637884
9800  80816  0.23906  0.657509  0.645561
9900  80629  0.241938  0.657799  0.646984
