t  meta_n  emi mean_cth  mean_gamma
0  103781  0.446448  0.90879  0.899095
100  80687  0.282197  0.766251  0.847883
200  80718  0.25965  0.741695  0.782966
300  81006  0.262165  0.728538  0.7278
400  80345  0.260206  0.704967  0.668459
500  79773  0.262086  0.687147  0.630588
600  80580  0.24757  0.68061  0.606933
700  81036  0.25891  0.66869  0.576364
800  81150  0.266814  0.660827  0.553136
900  81152  0.260579  0.652666  0.534484
1000  81906  0.256413  0.650913  0.519861
1100  80512  0.255781  0.643902  0.500513
1200  80843  0.258224  0.637263  0.481694
1300  81108  0.254138  0.634145  0.47108
1400  80781  0.252176  0.630565  0.459254
1500  82614  0.258882  0.629241  0.443271
1600  81001  0.246927  0.624055  0.430548
1700  81295  0.253936  0.625766  0.439765
1800  80793  0.264731  0.623176  0.455177
1900  81086  0.250914  0.620335  0.450078
2000  81891  0.264036  0.623361  0.456406
2100  80952  0.258327  0.620444  0.450539
2200  81637  0.252737  0.622352  0.447273
2300  80837  0.255134  0.625643  0.447426
2400  81325  0.249287  0.625201  0.437224
2500  80732  0.25214  0.627261  0.45525
2600  80722  0.243197  0.626289  0.445813
2700  80716  0.246997  0.628715  0.458533
2800  81696  0.239156  0.627056  0.455699
2900  80661  0.245004  0.628029  0.453564
3000  80846  0.252148  0.629422  0.458703
3100  81031  0.24657  0.627379  0.462244
3200  81256  0.256234  0.622813  0.459809
3300  81018  0.250108  0.624786  0.454099
3400  80906  0.242132  0.626326  0.453939
3500  80777  0.245061  0.625783  0.450497
3600  81490  0.241846  0.627167  0.447822
3700  81206  0.244149  0.623177  0.439399
3800  80775  0.246599  0.624259  0.449245
3900  81106  0.247411  0.622047  0.441935
4000  81596  0.243985  0.623061  0.446012
4100  81904  0.244751  0.623881  0.45432
4200  80021  0.246303  0.624  0.458743
4300  81036  0.250592  0.625999  0.471847
4400  81878  0.255884  0.625778  0.477906
4500  81440  0.252101  0.623656  0.469453
4600  81498  0.254792  0.621638  0.459233
4700  82144  0.244415  0.621613  0.458772
4800  81246  0.256763  0.621962  0.454132
4900  80796  0.248553  0.622495  0.44943
5000  81110  0.242429  0.624161  0.453717
5100  81504  0.251557  0.620533  0.445841
5200  81526  0.25085  0.616862  0.438237
5300  81309  0.255886  0.616478  0.439789
5400  81033  0.253193  0.616381  0.443973
5500  80566  0.255  0.617327  0.446154
5600  80867  0.248093  0.618376  0.445481
5700  81453  0.24576  0.619034  0.448985
5800  81784  0.253248  0.619329  0.440126
5900  80875  0.251162  0.622317  0.451836
6000  81178  0.25803  0.620606  0.445994
6100  82392  0.25906  0.61826  0.442959
6200  82827  0.253942  0.618652  0.445298
6300  81607  0.249393  0.620115  0.448565
6400  81193  0.248154  0.622825  0.4553
6500  82347  0.245831  0.624074  0.456369
6600  80047  0.245249  0.624038  0.455032
6700  81597  0.246445  0.624614  0.45484
6800  81544  0.244163  0.62756  0.470915
6900  80810  0.246662  0.627017  0.472071
7000  81522  0.255046  0.627921  0.476927
7100  80584  0.236848  0.626813  0.475938
7200  81202  0.250165  0.626493  0.469176
7300  81357  0.255854  0.628729  0.484076
7400  80881  0.244615  0.627644  0.478387
7500  81271  0.250061  0.62992  0.496016
7600  81524  0.243659  0.628795  0.48621
7700  81438  0.25176  0.629394  0.488706
7800  80592  0.245073  0.631019  0.498105
7900  81809  0.246702  0.631035  0.499273
8000  80334  0.240856  0.632276  0.501581
8100  80508  0.248118  0.63295  0.510502
8200  81968  0.250217  0.633136  0.506084
8300  81176  0.254053  0.631334  0.501902
8400  81108  0.240449  0.632569  0.50553
8500  81013  0.243407  0.631954  0.510252
8600  82195  0.245713  0.632383  0.510463
8700  82157  0.247056  0.632489  0.512258
8800  80746  0.251847  0.633219  0.521263
8900  81731  0.251516  0.631773  0.510181
9000  81567  0.247469  0.631315  0.504379
9100  81569  0.253143  0.631605  0.502341
9200  81385  0.243887  0.632161  0.507284
9300  80247  0.24618  0.632512  0.50923
9400  81500  0.250547  0.631218  0.504464
9500  81363  0.243935  0.632266  0.509874
9600  81081  0.252102  0.63198  0.50767
9700  81894  0.253496  0.630713  0.500228
9800  80523  0.246816  0.630082  0.496789
9900  80464  0.248583  0.628286  0.491908
