t  meta_n  emi mean_cth  mean_gamma
0  103028  0.445792  0.909225  0.899349
100  77226  0.302509  0.6675  0.877296
200  76682  0.326978  0.63341  0.860887
300  76740  0.349772  0.61495  0.85204
400  76445  0.356706  0.60648  0.846956
500  77679  0.345169  0.611668  0.848112
600  77774  0.346622  0.614188  0.846373
700  77226  0.344003  0.612559  0.848688
800  76648  0.337042  0.618392  0.850146
900  77391  0.333342  0.618395  0.853175
1000  76943  0.340831  0.621154  0.853655
1100  77387  0.337061  0.620695  0.855841
1200  76473  0.33813  0.615686  0.849079
1300  76083  0.337476  0.614285  0.852237
1400  77856  0.341253  0.614069  0.850518
1500  76415  0.339613  0.616335  0.850387
1600  77033  0.336634  0.619301  0.852174
1700  77576  0.336426  0.620197  0.857324
1800  77345  0.343636  0.616376  0.852695
1900  77441  0.34414  0.617047  0.842971
2000  76130  0.337887  0.617611  0.847764
2100  77712  0.334693  0.621427  0.849716
2200  77196  0.337492  0.618328  0.842346
2300  77579  0.343466  0.618974  0.847883
2400  77604  0.340135  0.628407  0.862513
2500  77759  0.344023  0.630322  0.864184
2600  76254  0.336569  0.632453  0.87097
2700  77506  0.33182  0.638713  0.879277
2800  77585  0.331191  0.638629  0.874823
2900  77254  0.339996  0.638585  0.867249
3000  78099  0.339175  0.635701  0.860918
3100  76977  0.332633  0.637378  0.863523
3200  76839  0.329484  0.639462  0.872088
3300  76822  0.324541  0.642999  0.883912
3400  77052  0.336508  0.650617  0.89685
3500  76770  0.334065  0.654997  0.904865
3600  77707  0.335222  0.65746  0.911118
3700  77870  0.338602  0.659419  0.918574
3800  77822  0.344521  0.653972  0.913905
3900  77548  0.338828  0.649105  0.905605
4000  78052  0.348484  0.648075  0.902361
4100  77381  0.336832  0.653698  0.90965
4200  77637  0.339321  0.652753  0.907431
4300  77471  0.342522  0.659576  0.926559
4400  77627  0.347691  0.658077  0.923197
4500  77109  0.338868  0.661284  0.932034
4600  77355  0.344978  0.665181  0.938098
4700  77153  0.344532  0.672684  0.950417
4800  76723  0.334986  0.675269  0.955425
4900  77614  0.351421  0.674209  0.956416
5000  78974  0.348611  0.67424  0.956622
5100  77616  0.347131  0.675287  0.95405
5200  77376  0.343838  0.67964  0.960341
5300  77537  0.340401  0.677951  0.95699
5400  77585  0.342137  0.67749  0.956594
5500  79029  0.35115  0.68069  0.961823
5600  76861  0.33239  0.683607  0.967856
5700  76819  0.340875  0.688086  0.975154
5800  77227  0.341931  0.689604  0.977748
5900  77385  0.337614  0.691503  0.980538
6000  79183  0.344494  0.692407  0.980706
6100  77895  0.346123  0.693086  0.980664
6200  77077  0.344672  0.694588  0.984448
6300  77972  0.345985  0.695507  0.986101
6400  77979  0.347155  0.695961  0.987431
6500  77266  0.339482  0.698127  0.988724
6600  77333  0.350406  0.698168  0.989636
6700  78383  0.341701  0.696748  0.988121
6800  78246  0.340371  0.698643  0.988904
6900  77516  0.325876  0.702136  0.99295
7000  77455  0.334864  0.703124  0.992966
7100  77868  0.336262  0.705  0.994053
7200  77252  0.332506  0.707095  0.9955
7300  78483  0.336915  0.708104  0.996209
7400  77615  0.330113  0.705856  0.993798
7500  77017  0.335216  0.705755  0.993254
7600  78307  0.341873  0.706532  0.993529
7700  77626  0.321973  0.707123  0.994245
7800  76680  0.336899  0.706828  0.99446
7900  77540  0.342801  0.706591  0.994279
8000  77034  0.340382  0.706897  0.995558
8100  76798  0.339012  0.707562  0.996094
8200  76661  0.336157  0.707798  0.996803
8300  77324  0.339277  0.70868  0.997289
8400  77969  0.337541  0.707943  0.997323
8500  78745  0.337316  0.708488  0.998399
8600  77614  0.338396  0.70855  0.998784
8700  77532  0.337396  0.707864  0.998073
8800  77250  0.338315  0.707388  0.997842
8900  77718  0.340215  0.70747  0.998519
9000  77317  0.340884  0.709075  0.999078
9100  76331  0.335599  0.708848  0.999142
9200  76774  0.327919  0.709468  0.999235
9300  76822  0.338536  0.709799  0.999434
9400  77295  0.334778  0.709278  0.999575
9500  76930  0.336869  0.708713  0.99961
9600  77656  0.345925  0.708638  0.999629
9700  76906  0.333645  0.708928  0.999635
9800  78063  0.344338  0.707803  0.999562
9900  77996  0.334646  0.708266  0.999639
