t  meta_n  emi mean_cth  mean_gamma
0  102288  0.445448  0.910233  0.899058
100  80179  0.284434  0.785177  0.844641
200  80109  0.270917  0.752803  0.755902
300  80452  0.265747  0.724962  0.685422
400  80636  0.271485  0.701348  0.631664
500  80351  0.267301  0.679527  0.582872
600  81477  0.260658  0.665346  0.529603
700  81043  0.258177  0.661993  0.505338
800  79997  0.255876  0.645036  0.469891
900  80592  0.266345  0.638982  0.445158
1000  80858  0.254182  0.637835  0.422382
1100  80008  0.251635  0.627948  0.410407
1200  82986  0.27301  0.621264  0.386415
1300  81942  0.270694  0.615974  0.367338
1400  81167  0.261392  0.61338  0.361104
1500  82223  0.272081  0.611184  0.356653
1600  82537  0.26387  0.613138  0.353415
1700  81155  0.262184  0.611259  0.355543
1800  80114  0.254351  0.607802  0.336641
1900  81396  0.255955  0.607624  0.325013
2000  81200  0.260079  0.607817  0.316331
2100  80274  0.250525  0.608397  0.309101
2200  81778  0.250424  0.607466  0.300425
2300  82015  0.254686  0.602672  0.297336
2400  80984  0.249196  0.60278  0.282556
2500  81849  0.251782  0.598986  0.278394
2600  81960  0.251413  0.601557  0.288075
2700  81739  0.252966  0.597118  0.279175
2800  80783  0.248653  0.594976  0.273346
2900  81965  0.249103  0.596153  0.27172
3000  80628  0.242948  0.598961  0.272353
3100  80607  0.249754  0.601094  0.271687
3200  80882  0.241428  0.600315  0.277305
3300  81446  0.242279  0.601695  0.279523
3400  81092  0.251325  0.597981  0.271051
3500  81761  0.248855  0.597843  0.274387
3600  80989  0.25242  0.593462  0.255977
3700  81309  0.24845  0.590853  0.245657
3800  80406  0.241469  0.591091  0.235777
3900  82022  0.242471  0.592578  0.236678
4000  80748  0.249542  0.595256  0.248459
4100  81497  0.246453  0.594424  0.244401
4200  80021  0.239437  0.59292  0.244687
4300  80620  0.248434  0.591909  0.246697
4400  82116  0.251979  0.594667  0.253268
4500  81602  0.24323  0.594516  0.248883
4600  81813  0.243901  0.592676  0.244234
4700  81411  0.240093  0.594365  0.246777
4800  81521  0.24436  0.593785  0.242976
4900  80911  0.246708  0.594081  0.250829
5000  81899  0.249258  0.591826  0.243215
5100  80437  0.245307  0.591752  0.242475
5200  81456  0.250856  0.589802  0.238428
5300  81313  0.244762  0.59028  0.23327
5400  81191  0.242582  0.588497  0.22734
5500  80772  0.249219  0.590005  0.231598
5600  82495  0.255216  0.589196  0.233997
5700  80456  0.239606  0.588467  0.23293
5800  80927  0.2444  0.586971  0.228733
5900  81584  0.245781  0.587004  0.228965
6000  80452  0.250129  0.587118  0.230225
6100  81553  0.250869  0.585709  0.226778
6200  82546  0.256083  0.586831  0.230339
6300  81630  0.248048  0.587334  0.233177
6400  81088  0.243907  0.586699  0.223388
6500  80852  0.240358  0.585268  0.216283
6600  81377  0.247244  0.584714  0.219084
6700  80640  0.248292  0.585527  0.223692
6800  81163  0.247288  0.586868  0.229234
6900  81793  0.247787  0.586263  0.223776
7000  81168  0.248737  0.584711  0.225386
7100  81323  0.247662  0.582631  0.217368
7200  81280  0.253783  0.580051  0.210662
7300  81079  0.254859  0.581346  0.214951
7400  80636  0.246746  0.577634  0.203328
7500  81041  0.252514  0.578325  0.207627
7600  81571  0.24533  0.576644  0.201182
7700  81562  0.255267  0.576123  0.196333
7800  81647  0.252268  0.574861  0.195346
7900  81116  0.248744  0.573421  0.189107
8000  81035  0.249585  0.57331  0.192778
8100  81234  0.248108  0.57303  0.195255
8200  82141  0.256942  0.569896  0.184917
8300  81403  0.259039  0.568826  0.182025
8400  81725  0.253517  0.569079  0.180864
8500  81425  0.250608  0.568971  0.179491
8600  81488  0.258854  0.569105  0.175948
8700  80930  0.252208  0.569958  0.178685
8800  81596  0.251507  0.5692  0.178636
8900  80920  0.251496  0.569687  0.175993
9000  81727  0.252369  0.569794  0.178575
9100  81480  0.250251  0.568861  0.176061
9200  81499  0.252915  0.568276  0.169246
9300  81215  0.254293  0.567915  0.169773
9400  81459  0.260165  0.567726  0.16797
9500  81193  0.247061  0.567141  0.16328
9600  81454  0.261893  0.566713  0.159141
9700  81306  0.247209  0.566456  0.15676
9800  82412  0.25414  0.567863  0.163245
9900  80855  0.255561  0.56718  0.160632
