t  meta_n  emi mean_cth  mean_gamma
0  102456  0.445536  0.909568  0.898697
100  78846  0.283436  0.721953  0.878288
200  79897  0.289398  0.721761  0.86627
300  79505  0.28506  0.715963  0.852187
400  79993  0.290164  0.712122  0.840359
500  80411  0.282724  0.710857  0.838534
600  80149  0.285927  0.714776  0.841145
700  80248  0.280431  0.721093  0.857535
800  79659  0.278639  0.722321  0.859656
900  80103  0.280882  0.723262  0.856716
1000  81015  0.28528  0.72447  0.857339
1100  80113  0.278369  0.725741  0.85978
1200  81548  0.28117  0.734578  0.874966
1300  81148  0.277228  0.739888  0.871137
1400  80390  0.269621  0.744398  0.883615
1500  79367  0.258643  0.75066  0.894427
1600  80799  0.281619  0.758502  0.914771
1700  79665  0.264308  0.765287  0.927378
1800  81282  0.271994  0.766516  0.930074
1900  80359  0.267067  0.767874  0.934375
2000  80820  0.275533  0.767227  0.930203
2100  80330  0.267421  0.770979  0.936871
2200  80302  0.269951  0.773912  0.940728
2300  80749  0.260186  0.777921  0.946812
2400  80028  0.275306  0.776055  0.944765
2500  80473  0.268619  0.777739  0.947909
2600  80733  0.277278  0.777579  0.9514
2700  80203  0.273812  0.779198  0.957495
2800  79999  0.263957  0.780341  0.957266
2900  79997  0.274598  0.777699  0.953007
3000  80460  0.267689  0.780884  0.957634
3100  79903  0.263482  0.782028  0.959881
3200  80881  0.276188  0.782481  0.960561
3300  80185  0.272773  0.786505  0.965082
3400  79710  0.258926  0.786854  0.965259
3500  81176  0.276455  0.786917  0.97148
3600  80289  0.265595  0.789228  0.971604
3700  80047  0.265148  0.790657  0.974861
3800  80354  0.272175  0.78845  0.973693
3900  79563  0.277053  0.789801  0.977687
4000  82016  0.280576  0.791653  0.979621
4100  80657  0.271289  0.792319  0.978446
4200  80515  0.262113  0.79465  0.98156
4300  79143  0.265764  0.794815  0.981852
4400  79571  0.262217  0.792678  0.979989
4500  79961  0.279227  0.7925  0.978381
4600  80204  0.269479  0.794331  0.980076
4700  80540  0.26948  0.790804  0.977257
4800  81110  0.262692  0.791838  0.978161
4900  80526  0.252581  0.792467  0.976247
5000  81038  0.273227  0.793061  0.978367
5100  81214  0.262579  0.794088  0.978453
5200  81314  0.268935  0.793971  0.978343
5300  80950  0.271435  0.796307  0.982196
5400  80473  0.26218  0.794659  0.97981
5500  79761  0.261242  0.793885  0.978558
5600  81687  0.274324  0.793906  0.978671
5700  80275  0.247382  0.796146  0.979298
5800  80014  0.269653  0.794232  0.976395
5900  81188  0.263984  0.794529  0.976247
6000  81003  0.269641  0.792271  0.976062
6100  81418  0.26233  0.791549  0.976087
6200  81022  0.262071  0.792483  0.978217
6300  80813  0.254337  0.793373  0.979276
6400  79814  0.260824  0.791809  0.975901
6500  80367  0.262072  0.791866  0.974542
6600  80954  0.265999  0.793625  0.975507
6700  80478  0.253422  0.791973  0.973368
6800  81067  0.261255  0.789465  0.969378
6900  81100  0.263774  0.789852  0.969926
7000  79962  0.260736  0.790522  0.97077
7100  79791  0.255571  0.792859  0.972601
7200  80529  0.267993  0.791975  0.972566
7300  80556  0.253657  0.793233  0.975492
7400  80070  0.257608  0.792304  0.974972
7500  79493  0.25565  0.789081  0.972276
7600  80463  0.257464  0.79061  0.974184
7700  79676  0.269893  0.792657  0.976909
7800  79815  0.252621  0.792594  0.977265
7900  80133  0.26856  0.793341  0.978528
8000  79817  0.257743  0.79379  0.980788
8100  81446  0.265677  0.794315  0.9813
8200  80489  0.263565  0.795435  0.981541
8300  80584  0.250822  0.79563  0.983017
8400  81032  0.266932  0.792999  0.979734
8500  79713  0.254884  0.790364  0.977247
8600  80094  0.260218  0.79132  0.977724
8700  79063  0.253655  0.791609  0.977896
8800  80368  0.254152  0.791549  0.979096
8900  81315  0.274814  0.791503  0.979684
9000  79901  0.259564  0.789557  0.977537
9100  80527  0.267923  0.790071  0.977461
9200  80459  0.269453  0.791973  0.979983
9300  79609  0.249684  0.792378  0.979947
9400  80578  0.265336  0.79239  0.979071
9500  80029  0.249297  0.78969  0.975849
9600  80433  0.257345  0.791216  0.976545
9700  80376  0.263869  0.792543  0.97799
9800  79474  0.251152  0.792049  0.976882
9900  81294  0.266942  0.79192  0.975917
