t  meta_n  emi mean_cth  mean_gamma
0  103074  0.444072  0.911201  0.898191
100  79947  0.257741  0.809821  0.827321
200  79285  0.254086  0.771442  0.747829
300  80778  0.272262  0.727316  0.662692
400  80961  0.266581  0.704429  0.599471
500  82002  0.267265  0.687083  0.540199
600  81314  0.260664  0.681438  0.526207
700  80828  0.262434  0.662712  0.478063
800  81304  0.264546  0.662907  0.460301
900  81141  0.25602  0.647763  0.415579
1000  80708  0.255756  0.642473  0.391592
1100  81073  0.261776  0.634403  0.376972
1200  80489  0.261365  0.635472  0.373324
1300  80817  0.257292  0.6285  0.360903
1400  80370  0.258172  0.623285  0.349357
1500  81148  0.257543  0.619122  0.327546
1600  80929  0.247981  0.619377  0.326831
1700  80757  0.25278  0.616428  0.317102
1800  80534  0.262102  0.609679  0.306494
1900  81274  0.265288  0.606769  0.291394
2000  80476  0.259411  0.602461  0.271502
2100  81763  0.255972  0.60192  0.259069
2200  81891  0.254914  0.600939  0.248875
2300  82427  0.260206  0.595558  0.244999
2400  81711  0.265095  0.59383  0.239189
2500  81124  0.255331  0.591945  0.24132
2600  80578  0.255161  0.59199  0.242759
2700  81659  0.263293  0.590366  0.226274
2800  81218  0.265249  0.588652  0.220722
2900  81457  0.261008  0.589646  0.229071
3000  81477  0.251253  0.587228  0.229172
3100  80072  0.259448  0.584282  0.218401
3200  81628  0.262771  0.586197  0.211452
3300  80718  0.254691  0.58585  0.210964
3400  81442  0.257651  0.589139  0.227468
3500  79819  0.253926  0.587044  0.223679
3600  80788  0.255424  0.587711  0.228098
3700  82835  0.265717  0.583776  0.209697
3800  82026  0.259334  0.581845  0.206695
3900  80412  0.26076  0.580586  0.202706
4000  82334  0.260908  0.582884  0.197133
4100  81754  0.259431  0.582133  0.200331
4200  81439  0.259075  0.580759  0.18646
4300  81352  0.250851  0.580461  0.175066
4400  81564  0.25062  0.580079  0.16884
4500  81395  0.259742  0.578486  0.164586
4600  82029  0.257863  0.581114  0.170715
4700  81172  0.253079  0.581743  0.169231
4800  81777  0.2559  0.581846  0.180612
4900  80398  0.248405  0.578841  0.170493
5000  80567  0.253405  0.580044  0.179472
5100  82082  0.255431  0.580694  0.174769
5200  80384  0.257154  0.581161  0.182468
5300  81839  0.25737  0.580553  0.167272
5400  80939  0.250253  0.580236  0.167373
5500  80993  0.245972  0.579351  0.164127
5600  81504  0.251554  0.578939  0.157727
5700  81179  0.252286  0.580521  0.164022
5800  80340  0.24939  0.581859  0.161881
5900  81068  0.249105  0.582798  0.16112
6000  80939  0.240901  0.583971  0.162356
6100  82107  0.252208  0.581062  0.155789
6200  81666  0.252197  0.579483  0.152909
6300  81837  0.252441  0.582962  0.164036
6400  81205  0.248031  0.584267  0.163678
6500  82090  0.244072  0.584487  0.152881
6600  81446  0.241372  0.585487  0.159327
6700  81414  0.243125  0.586125  0.154342
6800  82580  0.257139  0.586594  0.155355
6900  82327  0.24915  0.58582  0.150526
7000  81055  0.247443  0.585449  0.147422
7100  81348  0.247734  0.585577  0.148405
7200  81748  0.247615  0.586253  0.149147
7300  81332  0.245267  0.588378  0.163305
7400  81215  0.239347  0.589269  0.172432
7500  82596  0.251618  0.587756  0.171955
7600  81798  0.246032  0.585666  0.163505
7700  81060  0.244344  0.587786  0.168119
7800  82383  0.247249  0.586602  0.162136
7900  82168  0.250919  0.584124  0.158058
8000  81445  0.251756  0.583813  0.161836
8100  81129  0.236743  0.583066  0.160699
8200  81575  0.242302  0.582355  0.157135
8300  81195  0.249041  0.581563  0.14816
8400  80919  0.247432  0.582049  0.154156
8500  81072  0.249265  0.582485  0.15079
8600  81733  0.244585  0.583421  0.154426
8700  80957  0.245473  0.583488  0.153266
8800  80417  0.2383  0.581972  0.150388
8900  80736  0.245209  0.580903  0.148919
9000  81416  0.251536  0.581106  0.14948
9100  80657  0.245556  0.581462  0.149569
9200  81528  0.243593  0.58105  0.147549
9300  81896  0.252869  0.581611  0.148092
9400  81074  0.246825  0.581767  0.142897
9500  80985  0.24322  0.581188  0.140759
9600  81285  0.24319  0.579399  0.137806
9700  81132  0.242669  0.580638  0.137439
9800  80495  0.243156  0.58039  0.133655
9900  81239  0.241842  0.578752  0.128867
