t  meta_n  emi mean_cth  mean_gamma
0  103503  0.44668  0.909209  0.898754
100  78925  0.300573  0.693379  0.877698
200  78879  0.321251  0.67198  0.855654
300  78105  0.313485  0.675114  0.850915
400  78000  0.31395  0.675996  0.843339
500  79014  0.314991  0.683376  0.852236
600  79704  0.302914  0.683875  0.851308
700  79720  0.308134  0.685979  0.850991
800  78024  0.300859  0.69276  0.863509
900  78878  0.298726  0.701171  0.872978
1000  79882  0.310071  0.70149  0.875224
1100  80177  0.303405  0.705107  0.888734
1200  79668  0.304843  0.710587  0.901332
1300  78259  0.298839  0.709275  0.902423
1400  78301  0.29682  0.711903  0.901384
1500  80596  0.311408  0.710097  0.902875
1600  78892  0.315368  0.712881  0.902244
1700  78631  0.28995  0.717727  0.908725
1800  79961  0.314338  0.719449  0.911589
1900  79969  0.30307  0.728515  0.922514
2000  78903  0.2991  0.731501  0.931342
2100  79525  0.303988  0.733158  0.938884
2200  79863  0.296488  0.736205  0.943052
2300  79389  0.29516  0.737662  0.944861
2400  78934  0.286272  0.74592  0.959079
2500  79000  0.299071  0.749988  0.963597
2600  79971  0.290371  0.755362  0.96859
2700  79855  0.299384  0.754468  0.966772
2800  79347  0.294469  0.752752  0.968389
2900  80036  0.312033  0.75198  0.968455
3000  81110  0.308474  0.751856  0.972038
3100  81396  0.314654  0.752507  0.970467
3200  79322  0.284661  0.758073  0.973329
3300  80440  0.298768  0.75968  0.980132
3400  79803  0.288517  0.760763  0.981259
3500  80547  0.300523  0.763002  0.98397
3600  80083  0.299352  0.762234  0.9833
3700  79112  0.288213  0.763577  0.985796
3800  79963  0.301888  0.764659  0.986637
3900  79426  0.296969  0.764912  0.986934
4000  79681  0.303828  0.763354  0.987543
4100  79483  0.291354  0.764107  0.987716
4200  79894  0.301588  0.764964  0.987384
4300  79889  0.295162  0.763628  0.986479
4400  79665  0.29147  0.765403  0.989646
4500  79746  0.297634  0.765604  0.989536
4600  79795  0.300699  0.766227  0.989969
4700  79788  0.293623  0.768605  0.992163
4800  79627  0.3006  0.770205  0.992339
4900  79325  0.28794  0.770531  0.992497
5000  80169  0.301907  0.77152  0.993474
5100  80175  0.298403  0.771716  0.992968
5200  79482  0.292204  0.770244  0.992281
5300  79615  0.289934  0.769448  0.991866
5400  79474  0.296435  0.769786  0.991406
5500  80521  0.292813  0.767871  0.990663
5600  80882  0.307821  0.767906  0.991117
5700  80801  0.302753  0.768533  0.991028
5800  80452  0.296262  0.767856  0.990511
5900  79782  0.293666  0.76765  0.99055
6000  79607  0.292435  0.768552  0.99075
6100  78891  0.290698  0.769973  0.991434
6200  79367  0.283845  0.769684  0.991304
6300  80552  0.300447  0.770003  0.992119
6400  79593  0.300575  0.770536  0.992382
6500  79452  0.289284  0.771172  0.993115
6600  79933  0.290674  0.770468  0.992765
6700  79302  0.293934  0.770355  0.992306
6800  79420  0.28913  0.773065  0.994226
6900  80280  0.292261  0.771732  0.993548
7000  81232  0.307151  0.772141  0.993085
7100  79455  0.287018  0.773481  0.99382
7200  80468  0.287688  0.775406  0.994596
7300  78975  0.286325  0.777113  0.994926
7400  79187  0.293412  0.777183  0.995303
7500  79918  0.28537  0.777911  0.995069
7600  80389  0.290408  0.777881  0.995261
7700  80268  0.284866  0.778683  0.995675
7800  78261  0.278247  0.779675  0.995925
7900  81134  0.288932  0.78033  0.995825
8000  80628  0.286272  0.78051  0.995715
8100  79929  0.294247  0.780757  0.995431
8200  79755  0.282638  0.781813  0.995861
8300  79528  0.284548  0.781714  0.995995
8400  79656  0.282333  0.782036  0.99644
8500  79298  0.287936  0.780437  0.995833
8600  79806  0.298215  0.778291  0.995351
8700  80906  0.306586  0.780297  0.996271
8800  79365  0.296379  0.782181  0.9969
8900  79636  0.293484  0.781299  0.996749
9000  80205  0.290809  0.78237  0.997297
9100  79776  0.297514  0.783385  0.997416
9200  79738  0.290486  0.783505  0.997419
9300  80220  0.295628  0.782071  0.997381
9400  80234  0.292839  0.781267  0.997015
9500  78857  0.287491  0.781566  0.997068
9600  79974  0.287436  0.78144  0.997313
9700  80068  0.295552  0.780659  0.996955
9800  80859  0.300163  0.779449  0.99635
9900  80572  0.299564  0.779105  0.99619
