t  meta_n  emi mean_cth  mean_gamma
0  120433  0.445792  0.910755  0.899111
100  119575  0.157109  1.04731  0.847876
200  120346  0.149026  1.04548  0.814837
300  120148  0.138914  1.04532  0.792639
400  121115  0.143119  1.04102  0.776119
500  120433  0.137226  1.0295  0.757659
600  120521  0.138758  1.0301  0.755687
700  120185  0.136695  1.02733  0.741717
800  120209  0.137456  1.0228  0.732066
900  121051  0.135808  1.02451  0.732146
1000  120659  0.134531  1.0201  0.725688
1100  120418  0.138795  1.02411  0.741254
1200  120518  0.136066  1.02425  0.741933
1300  119901  0.134753  1.02342  0.742564
1400  121071  0.136357  1.0261  0.744072
1500  120556  0.137892  1.02856  0.751348
1600  120622  0.136752  1.02609  0.741406
1700  121035  0.130618  1.02677  0.744814
1800  120724  0.133917  1.02981  0.754278
1900  120399  0.13664  1.03258  0.761207
2000  120192  0.129981  1.03053  0.760803
2100  120330  0.132049  1.03718  0.778017
2200  120834  0.134465  1.03789  0.780586
2300  120405  0.131645  1.04192  0.790738
2400  120555  0.134001  1.04629  0.800568
2500  120728  0.132753  1.05015  0.814954
2600  120029  0.137266  1.0592  0.840409
2700  120761  0.141826  1.06579  0.865
2800  120211  0.134917  1.06979  0.87757
2900  120162  0.131505  1.07065  0.878092
3000  121096  0.138806  1.07406  0.888852
3100  121108  0.137985  1.08063  0.907168
3200  120949  0.135456  1.08244  0.915666
3300  120604  0.136451  1.08508  0.925424
3400  120668  0.131568  1.08983  0.935626
3500  120983  0.143436  1.09045  0.938168
3600  121211  0.137405  1.09422  0.948332
3700  121156  0.142035  1.09348  0.947321
3800  120505  0.130879  1.09094  0.942594
3900  120810  0.135989  1.09275  0.945106
4000  120268  0.134155  1.09496  0.949551
4100  120360  0.137209  1.09554  0.951456
4200  120953  0.135521  1.0944  0.950742
4300  120425  0.136416  1.09521  0.95471
4400  120405  0.132323  1.09752  0.957076
4500  120428  0.137866  1.0992  0.96236
4600  120934  0.138762  1.10135  0.968444
4700  120337  0.134989  1.1037  0.972496
4800  120246  0.134665  1.10672  0.978279
4900  121464  0.136907  1.10773  0.980697
5000  120519  0.134042  1.10878  0.982379
5100  120131  0.137633  1.10905  0.982791
5200  120729  0.135742  1.10935  0.982727
5300  120529  0.135622  1.11025  0.983351
5400  120297  0.134363  1.10972  0.983294
5500  120929  0.134988  1.11152  0.98647
5600  120689  0.137367  1.11279  0.987117
5700  121087  0.135795  1.11451  0.98876
5800  120787  0.136152  1.11446  0.989033
5900  120578  0.139991  1.11527  0.990403
6000  120489  0.139388  1.11488  0.990068
6100  120734  0.134542  1.11484  0.989803
6200  120734  0.133226  1.11503  0.991065
6300  121047  0.135698  1.11619  0.994059
6400  120465  0.137212  1.11677  0.995399
6500  121125  0.141436  1.11791  0.996567
6600  120805  0.135049  1.11789  0.99647
6700  120789  0.141659  1.11781  0.996306
6800  120614  0.134807  1.11844  0.997135
6900  120980  0.138373  1.11816  0.996785
7000  120355  0.137539  1.11864  0.99698
7100  120543  0.139188  1.11882  0.997361
7200  120945  0.133313  1.11929  0.997602
7300  120597  0.13834  1.11975  0.997864
7400  120921  0.13338  1.12037  0.9983
7500  121056  0.12946  1.12075  0.998558
7600  121238  0.132231  1.12109  0.999087
7700  120273  0.135197  1.12101  0.998925
7800  120843  0.133375  1.12123  0.999057
7900  121250  0.144239  1.12113  0.999266
8000  120649  0.135399  1.12113  0.999425
8100  121112  0.136442  1.12145  0.999564
8200  120805  0.136606  1.12183  0.999661
8300  121098  0.136495  1.12173  0.999733
8400  120456  0.128703  1.12156  0.999732
8500  121315  0.139739  1.12161  0.999816
8600  120641  0.136166  1.12164  0.999829
8700  120523  0.140861  1.12146  0.999826
8800  120799  0.135595  1.12165  0.999824
8900  120672  0.133634  1.12156  0.999806
9000  120553  0.134686  1.12191  0.999858
9100  121200  0.135446  1.12167  0.999847
9200  120641  0.132363  1.12213  0.999875
9300  120924  0.137196  1.12224  0.999859
9400  120629  0.134475  1.12195  0.999873
9500  120872  0.136379  1.12227  0.99986
9600  120802  0.140428  1.12235  0.999865
9700  120873  0.13772  1.12242  0.999885
9800  120985  0.140456  1.12244  0.999889
9900  121098  0.135651  1.12252  0.999911
