t  meta_n  emi mean_cth  mean_gamma
0  120537  0.444728  0.909521  0.899166
100  119508  0.139855  1.09807  0.813466
200  120238  0.12296  1.08686  0.729782
300  120629  0.118218  1.06112  0.640996
400  120665  0.12256  1.02744  0.570905
500  120988  0.122939  1.01303  0.519097
600  121166  0.123027  1.00014  0.479954
700  121159  0.121799  0.987936  0.429041
800  121588  0.124421  0.980179  0.40653
900  121339  0.119982  0.976628  0.387773
1000  121076  0.125131  0.970201  0.371844
1100  120637  0.122854  0.959771  0.340648
1200  121185  0.119362  0.958698  0.32708
1300  121103  0.117116  0.955182  0.30516
1400  121061  0.119207  0.953008  0.300284
1500  121535  0.118229  0.948924  0.286901
1600  121373  0.117089  0.947774  0.279824
1700  121131  0.120526  0.941292  0.27061
1800  121582  0.120193  0.941035  0.267515
1900  121287  0.120271  0.936268  0.255687
2000  121887  0.122209  0.93461  0.250042
2100  121215  0.120729  0.932874  0.250259
2200  120817  0.117058  0.933574  0.24461
2300  121253  0.121085  0.934023  0.242062
2400  121069  0.119657  0.933741  0.244754
2500  121221  0.113697  0.935144  0.239189
2600  121101  0.115117  0.936369  0.239089
2700  121164  0.114079  0.937112  0.235595
2800  121836  0.11501  0.934609  0.226957
2900  121716  0.116094  0.934988  0.229366
3000  121290  0.117513  0.931634  0.217878
3100  120396  0.109431  0.931284  0.210335
3200  121435  0.117641  0.928543  0.206892
3300  121795  0.117474  0.925346  0.195579
3400  120960  0.118731  0.923168  0.181723
3500  121858  0.118804  0.921806  0.180641
3600  121085  0.11974  0.919863  0.172916
3700  121156  0.120711  0.91958  0.172376
3800  121902  0.118645  0.920004  0.179324
3900  121383  0.114736  0.921542  0.181188
4000  121359  0.116331  0.922697  0.179492
4100  121793  0.115066  0.922652  0.176509
4200  121311  0.111118  0.92181  0.170035
4300  121409  0.116758  0.919291  0.161576
4400  121864  0.116901  0.91991  0.158943
4500  121300  0.115687  0.918786  0.151513
4600  121435  0.113357  0.919202  0.153401
4700  121401  0.115719  0.919574  0.154279
4800  121290  0.11557  0.917356  0.15205
4900  121097  0.111267  0.91733  0.146094
5000  120890  0.114902  0.917788  0.14451
5100  121502  0.113789  0.917721  0.144831
5200  121289  0.112254  0.919321  0.149576
5300  122036  0.116106  0.918731  0.147446
5400  121752  0.113455  0.918417  0.144167
5500  121192  0.116152  0.917691  0.142615
5600  121778  0.112776  0.917053  0.140198
5700  121422  0.116895  0.91706  0.141601
5800  121660  0.112918  0.916031  0.135816
5900  121561  0.112966  0.915388  0.134276
6000  121698  0.112156  0.915901  0.135856
6100  121409  0.114783  0.915828  0.134665
6200  121461  0.111673  0.916513  0.134708
6300  121024  0.11481  0.915741  0.131334
6400  120943  0.113927  0.915014  0.123077
6500  121639  0.115333  0.913749  0.116626
6600  121024  0.115771  0.91463  0.11888
6700  121357  0.112194  0.913745  0.116382
6800  120931  0.114947  0.913504  0.115941
6900  121673  0.115636  0.914362  0.117154
7000  121175  0.114317  0.91427  0.113552
7100  121081  0.111491  0.913534  0.114884
7200  121422  0.112253  0.913424  0.112109
7300  121245  0.110661  0.91251  0.108051
7400  121547  0.114346  0.912796  0.108715
7500  121184  0.112996  0.912015  0.103786
7600  121403  0.114985  0.912349  0.105251
7700  121438  0.10919  0.912632  0.10389
7800  121369  0.110972  0.912805  0.102621
7900  121195  0.112613  0.912689  0.100244
8000  120738  0.112127  0.913443  0.0998756
8100  120909  0.108208  0.912934  0.098319
8200  121064  0.110429  0.913947  0.102341
8300  121101  0.109337  0.913685  0.0985372
8400  121125  0.111308  0.912547  0.0988429
8500  121092  0.112004  0.912814  0.100445
8600  121047  0.107849  0.913641  0.102274
8700  121637  0.112469  0.914134  0.101411
8800  121127  0.111546  0.915367  0.106741
8900  121303  0.11098  0.915313  0.107833
9000  121719  0.1135  0.916024  0.104739
9100  121555  0.110846  0.915387  0.100848
9200  121333  0.111055  0.914975  0.10191
9300  121346  0.109564  0.915221  0.100787
9400  121221  0.113418  0.914763  0.0936243
9500  121432  0.112441  0.91413  0.0907317
9600  121628  0.110975  0.913578  0.0847171
9700  121437  0.108165  0.912304  0.082294
9800  121215  0.111085  0.912957  0.0875878
9900  121821  0.111709  0.912183  0.0831163
