t  meta_n  emi mean_cth  mean_gamma
0  120859  0.44768  0.908705  0.899038
100  118937  0.16674  1.05355  0.848775
200  118960  0.149451  1.05935  0.811211
300  119681  0.14206  1.05061  0.778785
400  119575  0.146887  1.04013  0.753728
500  120220  0.142646  1.02828  0.717864
600  119685  0.143374  1.01406  0.697118
700  119851  0.146495  1.00505  0.677053
800  118671  0.144668  0.997559  0.65853
900  119200  0.14706  0.985507  0.635825
1000  119116  0.149863  0.976832  0.624059
1100  119484  0.147233  0.970586  0.608963
1200  119572  0.145867  0.968182  0.594309
1300  119619  0.149568  0.965006  0.588172
1400  118863  0.150106  0.962042  0.584986
1500  119769  0.147581  0.953692  0.554513
1600  119599  0.148717  0.951796  0.548655
1700  119620  0.145084  0.953372  0.551392
1800  119435  0.144067  0.952562  0.556676
1900  119550  0.143188  0.955765  0.560581
2000  119447  0.142132  0.954288  0.565078
2100  119819  0.146103  0.954791  0.571662
2200  119715  0.142029  0.95249  0.56239
2300  119393  0.141277  0.955762  0.565562
2400  119203  0.137585  0.957205  0.557817
2500  119457  0.142759  0.960585  0.570429
2600  119504  0.138502  0.962392  0.575506
2700  119571  0.139048  0.96237  0.575517
2800  119718  0.142951  0.960375  0.574888
2900  119983  0.138501  0.962369  0.578451
3000  120084  0.137649  0.967573  0.593692
3100  119723  0.13962  0.963522  0.585856
3200  120278  0.141675  0.967641  0.600266
3300  119443  0.139821  0.973372  0.615631
3400  119855  0.140307  0.973343  0.619063
3500  119488  0.146343  0.976288  0.63282
3600  120349  0.145712  0.976993  0.643545
3700  119189  0.140157  0.980593  0.649156
3800  119553  0.143126  0.985189  0.65434
3900  119407  0.143241  0.988491  0.661874
4000  119558  0.139632  0.996235  0.679778
4100  119694  0.141746  0.998827  0.683672
4200  120076  0.139826  1.00319  0.693628
4300  119900  0.14495  1.00988  0.712939
4400  119462  0.142642  1.01377  0.724179
4500  120092  0.139951  1.02166  0.741951
4600  120054  0.14225  1.02408  0.748132
4700  119834  0.136628  1.02604  0.751835
4800  119367  0.142408  1.03178  0.764281
4900  119939  0.142339  1.03367  0.767414
5000  119547  0.139282  1.03854  0.778886
5100  119892  0.137705  1.04073  0.780016
5200  120239  0.144157  1.04306  0.783196
5300  119986  0.136735  1.04809  0.799171
5400  119671  0.139608  1.05565  0.816805
5500  119807  0.140673  1.05807  0.822209
5600  120087  0.136489  1.06608  0.836986
5700  119827  0.139922  1.07396  0.849874
5800  119881  0.141446  1.08431  0.870941
5900  119454  0.130569  1.09286  0.890556
6000  119637  0.139112  1.0964  0.897993
6100  119421  0.136737  1.10302  0.914863
6200  119515  0.131975  1.10531  0.918873
6300  120013  0.137663  1.10622  0.917331
6400  119907  0.13718  1.10847  0.921227
6500  120223  0.134321  1.11368  0.931999
6600  119882  0.136586  1.11493  0.933829
6700  119906  0.133141  1.11961  0.943725
6800  120023  0.131158  1.12035  0.948053
6900  120164  0.13402  1.12051  0.947504
7000  119712  0.136443  1.12174  0.949366
7100  120044  0.13863  1.12476  0.954495
7200  120531  0.141751  1.13049  0.965819
7300  120398  0.140106  1.13154  0.967718
7400  119142  0.134158  1.13238  0.970354
7500  120184  0.131786  1.13689  0.9768
7600  120029  0.136221  1.1368  0.975886
7700  119657  0.131988  1.13939  0.98097
7800  119819  0.136217  1.1404  0.983207
7900  119139  0.131681  1.13908  0.981421
8000  120467  0.135051  1.13985  0.984189
8100  120349  0.134191  1.13964  0.982826
8200  119533  0.138401  1.13979  0.982959
8300  119395  0.131807  1.14138  0.987068
8400  120101  0.131759  1.13894  0.982546
8500  119819  0.143155  1.1372  0.979076
8600  119287  0.136078  1.13935  0.981314
8700  119531  0.130405  1.14057  0.982971
8800  119263  0.134411  1.1422  0.986778
8900  120131  0.134347  1.14215  0.985306
9000  120156  0.133246  1.14111  0.983216
9100  119842  0.136071  1.14151  0.983526
9200  120004  0.131392  1.14202  0.98246
9300  120124  0.13955  1.14267  0.982663
9400  120036  0.131447  1.14426  0.985692
9500  120321  0.138505  1.14628  0.991231
9600  119732  0.135169  1.14722  0.993621
9700  120530  0.134489  1.1472  0.993724
9800  120375  0.134651  1.14798  0.995456
9900  120236  0.13256  1.14788  0.99548
