t  meta_n  emi mean_cth  mean_gamma
0  120541  0.445824  0.909484  0.899283
100  120781  0.14648  1.05931  0.83528
200  120776  0.131154  1.05791  0.785624
300  120680  0.123112  1.04297  0.735105
400  120573  0.128166  1.03033  0.699209
500  120585  0.126418  1.01656  0.662684
600  120553  0.126553  1.0036  0.630683
700  120559  0.122301  0.997703  0.612182
800  120772  0.123966  0.993578  0.591507
900  121255  0.119844  0.984908  0.568065
1000  121496  0.122332  0.97548  0.544206
1100  121276  0.122515  0.969591  0.532435
1200  121166  0.1251  0.963833  0.505745
1300  120749  0.117795  0.959669  0.486034
1400  121188  0.122385  0.952225  0.458896
1500  121009  0.121846  0.947941  0.445071
1600  120971  0.123559  0.942837  0.432275
1700  121238  0.120796  0.94107  0.423396
1800  121300  0.121843  0.938623  0.424126
1900  121283  0.123002  0.937587  0.425518
2000  120946  0.120532  0.938827  0.424581
2100  120848  0.118511  0.937356  0.42497
2200  120955  0.121647  0.937801  0.419653
2300  121381  0.121388  0.938362  0.429687
2400  121107  0.120889  0.937944  0.423731
2500  120994  0.116693  0.935916  0.417047
2600  121682  0.123195  0.935844  0.414542
2700  121435  0.120376  0.935911  0.416944
2800  121183  0.119388  0.936926  0.415956
2900  121594  0.119779  0.935253  0.412033
3000  121332  0.119284  0.936687  0.413762
3100  121186  0.11539  0.937617  0.415874
3200  121528  0.11956  0.937359  0.428562
3300  121302  0.11579  0.93716  0.422942
3400  120810  0.114721  0.937135  0.423875
3500  120915  0.115299  0.936314  0.423229
3600  121524  0.116311  0.937088  0.423312
3700  120994  0.119861  0.936307  0.429036
3800  121298  0.12004  0.937228  0.434177
3900  120675  0.117206  0.936364  0.435236
4000  121235  0.112875  0.936997  0.435598
4100  121414  0.12036  0.938842  0.436884
4200  121806  0.119541  0.939642  0.450455
4300  121510  0.116008  0.937733  0.439337
4400  121530  0.122947  0.937924  0.447842
4500  121001  0.116703  0.93895  0.454802
4600  121225  0.118589  0.940238  0.460828
4700  121467  0.121232  0.940998  0.46591
4800  122027  0.121192  0.941231  0.466979
4900  121460  0.115423  0.940863  0.467882
5000  120600  0.11617  0.942645  0.482433
5100  120721  0.116009  0.942383  0.486846
5200  121447  0.116382  0.942656  0.48711
5300  121429  0.120835  0.944132  0.490068
5400  121294  0.118945  0.943264  0.485164
5500  121536  0.119101  0.943068  0.487012
5600  121731  0.121095  0.943951  0.496345
5700  121330  0.119954  0.946149  0.509421
5800  120819  0.11938  0.945988  0.510443
5900  121238  0.118804  0.944806  0.503084
6000  120926  0.117128  0.944818  0.505419
6100  121320  0.118345  0.944902  0.506529
6200  121578  0.122165  0.944734  0.508577
6300  121317  0.120684  0.945829  0.518767
6400  121013  0.120511  0.945599  0.517545
6500  121387  0.11922  0.945815  0.516225
6600  121465  0.119461  0.945401  0.514841
6700  121113  0.122116  0.945246  0.514238
6800  121365  0.119964  0.945214  0.514925
6900  121155  0.117996  0.945915  0.517633
7000  121307  0.118569  0.947271  0.527579
7100  120879  0.115352  0.946156  0.517422
7200  121647  0.117436  0.947887  0.525767
7300  121182  0.117391  0.948902  0.532271
7400  121476  0.116534  0.948442  0.526276
7500  121405  0.11644  0.948669  0.524018
7600  121441  0.11782  0.948256  0.521181
7700  121097  0.115462  0.948629  0.522405
7800  120692  0.115789  0.949256  0.528497
7900  121353  0.122991  0.949578  0.532018
8000  121320  0.115405  0.950691  0.53722
8100  121699  0.117793  0.951535  0.542989
8200  121682  0.118232  0.951214  0.544192
8300  122375  0.119029  0.952171  0.550435
8400  121170  0.116542  0.951651  0.547392
8500  121241  0.118818  0.951151  0.544916
8600  121173  0.120319  0.951789  0.551356
8700  121553  0.120567  0.951446  0.546215
8800  121018  0.117284  0.949133  0.531522
8900  121822  0.119406  0.948684  0.529107
9000  121930  0.117999  0.948591  0.52829
9100  121149  0.116318  0.94871  0.527165
9200  120621  0.118602  0.946787  0.518521
9300  120577  0.114574  0.946783  0.519353
9400  121660  0.119437  0.947587  0.523134
9500  121139  0.116417  0.94945  0.533838
9600  120909  0.117958  0.9496  0.535588
9700  121107  0.115865  0.950163  0.537514
9800  122127  0.118167  0.949738  0.533797
9900  121692  0.117256  0.948733  0.524382
