t  meta_n  emi mean_cth  mean_gamma
0  120527  0.446568  0.91064  0.899397
100  119084  0.170563  1.05025  0.845285
200  119295  0.147927  1.0509  0.807321
300  119531  0.144806  1.04781  0.78154
400  119156  0.141709  1.0409  0.756055
500  119977  0.144689  1.03395  0.748576
600  119581  0.148194  1.02146  0.721387
700  119397  0.144022  1.01097  0.695129
800  119068  0.137558  1.01167  0.680719
900  119235  0.138956  1.00945  0.678869
1000  119260  0.138927  1.00809  0.670903
1100  119765  0.146098  0.997844  0.657409
1200  119640  0.140315  0.996056  0.647018
1300  119673  0.141383  1.00098  0.650787
1400  120365  0.141879  0.994552  0.642586
1500  119653  0.141982  0.998197  0.65606
1600  120050  0.141196  1.00531  0.671182
1700  119055  0.14451  1.00775  0.679941
1800  120158  0.144398  1.01081  0.696929
1900  119493  0.145444  1.00643  0.685333
2000  119893  0.145844  1.01319  0.707163
2100  119545  0.145631  1.01496  0.716166
2200  119411  0.150726  1.01877  0.727987
2300  120032  0.152932  1.01991  0.729483
2400  119431  0.145535  1.01717  0.727979
2500  119393  0.143193  1.02094  0.732929
2600  119589  0.147683  1.0217  0.735732
2700  119881  0.147019  1.03174  0.757038
2800  119899  0.149054  1.03601  0.767796
2900  119604  0.152492  1.0413  0.779217
3000  120152  0.14475  1.04735  0.798001
3100  120272  0.147113  1.05268  0.807317
3200  120302  0.151817  1.0604  0.83037
3300  120146  0.148659  1.06516  0.849149
3400  119769  0.149697  1.06624  0.852224
3500  119836  0.146252  1.07125  0.863606
3600  119594  0.145171  1.07652  0.872679
3700  120748  0.148781  1.08072  0.883836
3800  120364  0.146465  1.08741  0.900235
3900  119914  0.149297  1.08866  0.90512
4000  119846  0.147745  1.09354  0.916498
4100  120013  0.144396  1.09513  0.923505
4200  120010  0.146322  1.09708  0.930418
4300  120094  0.152361  1.09998  0.939885
4400  120965  0.150049  1.1016  0.942487
4500  120022  0.152527  1.104  0.948321
4600  119825  0.145854  1.10616  0.95211
4700  120569  0.152217  1.10745  0.955368
4800  120434  0.154079  1.10962  0.961737
4900  120060  0.147087  1.10868  0.958963
5000  119982  0.151147  1.10994  0.965395
5100  120208  0.149498  1.11328  0.97228
5200  120261  0.145172  1.11255  0.967597
5300  120323  0.147919  1.11516  0.974282
5400  120040  0.150112  1.11693  0.978076
5500  120279  0.145043  1.11719  0.980405
5600  119731  0.14517  1.11735  0.980351
5700  119902  0.147705  1.11832  0.981458
5800  119539  0.146183  1.11885  0.982815
5900  120149  0.143486  1.12099  0.984425
6000  120003  0.142655  1.1202  0.981296
6100  120391  0.14396  1.12033  0.981518
6200  119675  0.152836  1.12019  0.981707
6300  120022  0.145742  1.12181  0.985158
6400  120117  0.148114  1.12158  0.982565
6500  119484  0.146433  1.12436  0.988188
6600  120054  0.149089  1.12477  0.98941
6700  119547  0.142733  1.12537  0.989712
6800  119878  0.145255  1.12711  0.992517
6900  119849  0.139553  1.12759  0.992828
7000  119971  0.148294  1.1273  0.991327
7100  119753  0.147651  1.12806  0.9924
7200  120415  0.148632  1.12901  0.993782
7300  120198  0.147503  1.12847  0.99344
7400  119151  0.143946  1.12863  0.993369
7500  119839  0.146853  1.12964  0.99553
7600  119433  0.143483  1.13011  0.996299
7700  119996  0.147894  1.13024  0.996465
7800  119556  0.147224  1.12986  0.996197
7900  119989  0.143967  1.12949  0.995197
8000  119726  0.146646  1.12951  0.995266
8100  119906  0.148066  1.12961  0.99548
8200  119853  0.148214  1.12996  0.995781
8300  119783  0.147713  1.13121  0.997218
8400  120142  0.143066  1.13134  0.997614
8500  119784  0.142551  1.13099  0.996477
8600  119923  0.145141  1.13156  0.997188
8700  119743  0.141759  1.1309  0.996259
8800  120213  0.151373  1.13079  0.996245
8900  119991  0.142496  1.1315  0.996841
9000  119598  0.146865  1.13153  0.997158
9100  120341  0.145354  1.13142  0.997105
9200  119945  0.146246  1.13203  0.997451
9300  120202  0.142412  1.13271  0.998263
9400  119807  0.143351  1.13375  0.999303
9500  119996  0.139602  1.13387  0.999118
9600  119776  0.146081  1.13373  0.999242
9700  119342  0.14369  1.13401  0.99931
9800  119583  0.142327  1.13418  0.999297
9900  120411  0.148649  1.13425  0.999469
