t  meta_n  emi mean_cth  mean_gamma
0  120815  0.446088  0.909003  0.89871
100  120197  0.144372  1.0844  0.816121
200  120377  0.127989  1.07148  0.737307
300  120260  0.121278  1.04452  0.658175
400  120960  0.124868  1.02647  0.597437
500  120649  0.125982  1.00688  0.545431
600  120967  0.124491  0.992043  0.493927
700  121518  0.119403  0.98707  0.450766
800  120660  0.122006  0.972959  0.420414
900  121446  0.121591  0.970207  0.399162
1000  120937  0.119029  0.965505  0.374551
1100  121280  0.122164  0.958869  0.363665
1200  121322  0.119405  0.956574  0.348989
1300  121871  0.11624  0.952412  0.330329
1400  121392  0.118404  0.94706  0.321722
1500  121151  0.121056  0.942844  0.311558
1600  121741  0.118245  0.941676  0.286873
1700  121162  0.118056  0.937138  0.272532
1800  121460  0.120423  0.936715  0.272293
1900  120310  0.116734  0.934899  0.270743
2000  121359  0.119464  0.935012  0.276806
2100  121705  0.117259  0.934012  0.269225
2200  121344  0.119112  0.92838  0.256545
2300  121132  0.117574  0.927063  0.255759
2400  120805  0.118301  0.926042  0.251727
2500  122096  0.117627  0.930677  0.262394
2600  121203  0.116601  0.932742  0.26443
2700  121009  0.115925  0.929243  0.249983
2800  121418  0.118179  0.929906  0.246223
2900  121537  0.116219  0.928886  0.230787
3000  121289  0.111938  0.928343  0.221919
3100  121329  0.114148  0.927092  0.22648
3200  121244  0.115746  0.927652  0.23195
3300  120824  0.113871  0.925436  0.227002
3400  121044  0.113059  0.923598  0.22049
3500  121596  0.114951  0.924049  0.22706
3600  121316  0.113609  0.923436  0.221257
3700  121108  0.112309  0.922823  0.214854
3800  121362  0.119242  0.920243  0.213685
3900  121357  0.113463  0.919929  0.213338
4000  121762  0.114357  0.918576  0.197959
4100  121497  0.115598  0.919417  0.201333
4200  121582  0.114301  0.91704  0.194339
4300  121257  0.113545  0.918386  0.195537
4400  121732  0.115606  0.917835  0.198665
4500  121756  0.118687  0.917792  0.19873
4600  121367  0.113714  0.916326  0.201601
4700  121532  0.112611  0.917857  0.209153
4800  121981  0.119018  0.917331  0.206492
4900  121462  0.118468  0.916188  0.202289
5000  121239  0.115689  0.916345  0.197003
5100  121374  0.116326  0.915436  0.190677
5200  121358  0.116437  0.915241  0.183956
5300  122016  0.117017  0.914004  0.179997
5400  121230  0.11162  0.913523  0.178823
5500  121170  0.114987  0.91186  0.170751
5600  121527  0.115623  0.913156  0.169381
5700  121422  0.115787  0.913224  0.169633
5800  121257  0.114531  0.913071  0.170879
5900  121348  0.116692  0.914017  0.169604
6000  121484  0.112674  0.91274  0.163674
6100  121107  0.114764  0.913329  0.165508
6200  121724  0.114797  0.912045  0.158448
6300  120953  0.112013  0.912047  0.160659
6400  121419  0.114362  0.912398  0.157576
6500  120959  0.109217  0.912929  0.158639
6600  121217  0.112243  0.912161  0.154467
6700  121413  0.109536  0.912255  0.151594
6800  121192  0.113402  0.912089  0.150735
6900  121678  0.111731  0.912371  0.149379
7000  121629  0.113021  0.912985  0.154212
7100  121568  0.113099  0.913831  0.161903
7200  121514  0.116411  0.912499  0.156846
7300  121399  0.114965  0.911347  0.156521
7400  121409  0.11347  0.911242  0.157362
7500  122268  0.115921  0.911782  0.156097
7600  121336  0.114714  0.911516  0.151882
7700  121016  0.110663  0.911554  0.154059
7800  121644  0.116169  0.91088  0.152676
7900  121331  0.116022  0.911226  0.156388
8000  121240  0.112066  0.910891  0.155475
8100  121983  0.116316  0.910191  0.154082
8200  121619  0.113337  0.909529  0.153217
8300  121456  0.117086  0.908796  0.150662
8400  121256  0.118882  0.909094  0.149964
8500  121369  0.113398  0.909075  0.152654
8600  121458  0.11665  0.90869  0.153907
8700  121152  0.116851  0.909691  0.157061
8800  121307  0.112369  0.910704  0.158625
8900  121642  0.113952  0.910523  0.155759
9000  121377  0.112668  0.910755  0.156836
9100  121713  0.114991  0.910646  0.156041
9200  121983  0.112241  0.910966  0.159962
9300  122039  0.115229  0.911095  0.161045
9400  120897  0.113153  0.91132  0.162584
9500  121083  0.114947  0.911213  0.162835
9600  121188  0.112357  0.910645  0.159818
9700  121273  0.113418  0.910065  0.155649
9800  121071  0.113397  0.910446  0.156286
9900  121019  0.113265  0.909938  0.150765
