t  meta_n  emi mean_cth  mean_gamma
0  120577  0.444632  0.91048  0.898701
100  120520  0.132919  1.0677  0.830016
200  121034  0.121961  1.06184  0.775734
300  120877  0.120032  1.04183  0.715416
400  120569  0.12004  1.02365  0.657788
500  120898  0.123479  1.0046  0.610215
600  120745  0.118224  0.998427  0.581677
700  121030  0.119409  0.991089  0.558271
800  120884  0.120459  0.981461  0.541222
900  121070  0.126496  0.972819  0.530885
1000  121140  0.122696  0.96518  0.499183
1100  121111  0.124226  0.962969  0.492633
1200  121357  0.122502  0.956489  0.469932
1300  121090  0.119373  0.955251  0.468038
1400  121514  0.127914  0.948358  0.45304
1500  121166  0.124042  0.948341  0.443409
1600  120641  0.120513  0.943585  0.423892
1700  121047  0.118616  0.942459  0.416925
1800  121389  0.121853  0.939706  0.419219
1900  121029  0.121234  0.942679  0.420086
2000  121564  0.123697  0.937874  0.412539
2100  121516  0.120903  0.938277  0.41484
2200  121309  0.121937  0.939826  0.41941
2300  121363  0.11993  0.938198  0.42238
2400  121906  0.123546  0.936788  0.418625
2500  121243  0.122645  0.933861  0.407244
2600  121176  0.124656  0.930157  0.390054
2700  121261  0.119705  0.930688  0.389511
2800  121073  0.124237  0.931506  0.394752
2900  121076  0.118721  0.931447  0.402583
3000  121081  0.123532  0.930845  0.401098
3100  121875  0.125285  0.931809  0.408068
3200  121191  0.122014  0.930176  0.404532
3300  120498  0.120947  0.93009  0.402598
3400  121422  0.120649  0.928914  0.396451
3500  121376  0.121949  0.928881  0.397944
3600  120463  0.11874  0.930092  0.394474
3700  120740  0.116157  0.93116  0.394937
3800  121854  0.11772  0.930117  0.383257
3900  121506  0.122654  0.929751  0.381282
4000  121369  0.11711  0.929192  0.378196
4100  121529  0.121894  0.929287  0.376372
4200  120848  0.115494  0.929807  0.378742
4300  121104  0.11721  0.929981  0.374751
4400  120513  0.113031  0.931793  0.389473
4500  120787  0.115015  0.932364  0.391643
4600  121275  0.115509  0.929376  0.375879
4700  121557  0.116967  0.931801  0.387968
4800  121272  0.117919  0.930677  0.38611
4900  121857  0.117727  0.931233  0.393331
5000  122251  0.121605  0.931862  0.401206
5100  121656  0.117909  0.932146  0.407558
5200  121547  0.120725  0.933046  0.414203
5300  121285  0.118381  0.931368  0.40969
5400  121463  0.120345  0.931436  0.40994
5500  121571  0.121998  0.930828  0.408813
5600  121620  0.117433  0.929365  0.40333
5700  121022  0.120842  0.92829  0.396265
5800  121521  0.120528  0.926589  0.388563
5900  121702  0.118111  0.926712  0.389499
6000  121739  0.123438  0.925  0.383089
6100  120902  0.119877  0.923132  0.372873
6200  121277  0.118575  0.922119  0.366013
6300  121097  0.124851  0.920358  0.353146
6400  121438  0.12343  0.920949  0.358831
6500  121086  0.119266  0.921485  0.358922
6600  121091  0.118196  0.92156  0.3556
6700  121350  0.11781  0.922157  0.357213
6800  121269  0.119146  0.921304  0.353797
6900  121157  0.122894  0.921402  0.356371
7000  121422  0.121578  0.921523  0.357383
7100  121155  0.121355  0.921735  0.358193
7200  121564  0.122455  0.92195  0.365101
7300  121395  0.114855  0.920914  0.351341
7400  121517  0.119079  0.919744  0.341292
7500  120706  0.118519  0.920792  0.348731
7600  121498  0.117908  0.920718  0.348413
7700  121404  0.121332  0.920166  0.348836
7800  121173  0.118297  0.9206  0.350059
7900  121628  0.11928  0.92031  0.349672
8000  120964  0.115965  0.920669  0.344851
8100  121743  0.120081  0.921673  0.356058
8200  121617  0.118536  0.921586  0.350019
8300  121741  0.120676  0.921152  0.350047
8400  121053  0.116824  0.920605  0.347966
8500  120801  0.122127  0.921628  0.353422
8600  121101  0.118024  0.922305  0.360541
8700  121300  0.11871  0.921687  0.356471
8800  121584  0.122014  0.921796  0.360476
8900  121722  0.122043  0.922238  0.362598
9000  121667  0.119767  0.923194  0.368209
9100  120683  0.115493  0.921784  0.362453
9200  121450  0.118073  0.922046  0.361625
9300  121305  0.122182  0.922476  0.365921
9400  121166  0.117467  0.92235  0.367166
9500  121027  0.119037  0.921801  0.363359
9600  120896  0.121172  0.922789  0.366107
9700  121351  0.122427  0.922929  0.370583
9800  121569  0.12149  0.922643  0.369683
9900  121473  0.118599  0.92289  0.372586
