t  meta_n  emi mean_cth  mean_gamma
0  120678  0.44616  0.910731  0.899144
100  120883  0.147467  1.06048  0.847806
200  121094  0.12691  1.05658  0.803299
300  120202  0.120567  1.04805  0.760074
400  120625  0.123082  1.03225  0.717909
500  121096  0.122213  1.0247  0.690543
600  120484  0.11638  1.01733  0.667991
700  120875  0.119514  1.00158  0.629647
800  120564  0.122903  0.993811  0.603514
900  120951  0.120999  0.984644  0.571329
1000  121451  0.126124  0.973365  0.54143
1100  121131  0.127053  0.970951  0.529547
1200  120827  0.126105  0.964382  0.514088
1300  120963  0.124865  0.962592  0.517102
1400  121158  0.126807  0.959783  0.511248
1500  120703  0.125788  0.954822  0.493307
1600  120614  0.126493  0.949824  0.47944
1700  121308  0.124454  0.950248  0.468291
1800  120921  0.128467  0.954884  0.475629
1900  121113  0.118787  0.95179  0.456962
2000  120927  0.123226  0.950884  0.46359
2100  121597  0.126583  0.947779  0.461692
2200  121168  0.120095  0.94839  0.470022
2300  121101  0.122641  0.947904  0.461616
2400  121108  0.121042  0.945514  0.444251
2500  121195  0.123722  0.943133  0.433952
2600  121490  0.120988  0.944001  0.442993
2700  121572  0.120198  0.940323  0.429783
2800  121755  0.119408  0.938746  0.427538
2900  121354  0.12229  0.933796  0.411973
3000  121673  0.125943  0.934262  0.42066
3100  121200  0.126577  0.933096  0.424859
3200  121091  0.123305  0.934916  0.435288
3300  121151  0.116896  0.932718  0.425559
3400  121028  0.123512  0.931114  0.415466
3500  121078  0.118291  0.932003  0.414773
3600  121044  0.120479  0.931906  0.411346
3700  121307  0.121224  0.931749  0.412856
3800  121393  0.122578  0.93134  0.413439
3900  121011  0.122126  0.928394  0.399021
4000  121444  0.120222  0.929556  0.411649
4100  121195  0.122681  0.92772  0.400594
4200  121557  0.12402  0.927801  0.402322
4300  121459  0.121  0.92769  0.407003
4400  120970  0.12205  0.927106  0.40727
4500  121081  0.121529  0.926379  0.40145
4600  121062  0.121031  0.928584  0.409024
4700  121279  0.123463  0.927437  0.406225
4800  121439  0.122433  0.926963  0.405348
4900  121351  0.122924  0.927352  0.408296
5000  121217  0.123439  0.92783  0.414552
5100  121608  0.128472  0.927232  0.409845
5200  121190  0.127468  0.929993  0.4238
5300  121048  0.1186  0.928686  0.419934
5400  121270  0.125411  0.930341  0.425429
5500  120998  0.122455  0.930383  0.430575
5600  121560  0.123638  0.932693  0.442218
5700  120915  0.120927  0.935306  0.457921
5800  120918  0.122175  0.937084  0.463014
5900  120823  0.118811  0.937715  0.463021
6000  121201  0.12312  0.937659  0.465112
6100  121429  0.125654  0.939716  0.476156
6200  121030  0.122834  0.93983  0.475329
6300  121421  0.12144  0.940774  0.479682
6400  121335  0.120576  0.941372  0.483195
6500  121329  0.121174  0.942459  0.486715
6600  121008  0.122404  0.944749  0.4991
6700  120719  0.119499  0.945469  0.503548
6800  121128  0.120877  0.944018  0.4977
6900  120809  0.124558  0.944685  0.504748
7000  121435  0.123848  0.942288  0.495694
7100  121328  0.123719  0.945256  0.514157
7200  121704  0.12137  0.946436  0.519659
7300  121369  0.120768  0.945988  0.520391
7400  121455  0.122237  0.945941  0.519091
7500  120911  0.121201  0.949738  0.537819
7600  121094  0.123632  0.949244  0.532173
7700  121180  0.121659  0.948915  0.53004
7800  120818  0.118654  0.948664  0.532003
7900  121323  0.124632  0.949567  0.533212
8000  121444  0.122525  0.947439  0.523227
8100  120928  0.121718  0.949361  0.531547
8200  121480  0.121948  0.94858  0.531572
8300  121504  0.123235  0.94753  0.526349
8400  121461  0.12003  0.948335  0.528449
8500  121531  0.124866  0.949026  0.531327
8600  121168  0.12027  0.95148  0.543303
8700  120941  0.120922  0.952705  0.549347
8800  121240  0.121695  0.954324  0.558401
8900  121631  0.120684  0.95295  0.551271
9000  121022  0.122174  0.953196  0.54981
9100  121250  0.123371  0.950824  0.539021
9200  121189  0.118916  0.950118  0.536056
9300  121277  0.121133  0.952039  0.546631
9400  121564  0.12182  0.953105  0.553131
9500  120966  0.120812  0.951625  0.544483
9600  121405  0.122251  0.952143  0.549208
9700  121643  0.12365  0.954058  0.560816
9800  121896  0.126298  0.955716  0.569402
9900  120946  0.120601  0.954292  0.565133
