t  meta_n  emi mean_cth  mean_gamma
0  120727  0.448096  0.908212  0.898857
100  120314  0.151363  1.05615  0.846309
200  120999  0.138716  1.05243  0.801767
300  121456  0.128848  1.04869  0.768729
400  120937  0.125241  1.03928  0.747021
500  120655  0.122832  1.03025  0.721986
600  121372  0.122432  1.01998  0.698299
700  120476  0.129175  1.01368  0.683663
800  120867  0.123759  1.00433  0.664824
900  121039  0.126687  0.999101  0.637505
1000  121471  0.122032  0.995137  0.623843
1100  120964  0.12855  0.988847  0.608935
1200  121147  0.124936  0.984467  0.599193
1300  120932  0.129726  0.978558  0.592672
1400  121248  0.12858  0.975972  0.583577
1500  120988  0.12122  0.975819  0.571096
1600  120733  0.122502  0.972832  0.562384
1700  121180  0.124217  0.973692  0.573806
1800  121576  0.123527  0.97333  0.579236
1900  121190  0.12233  0.974096  0.585372
2000  121313  0.124511  0.976568  0.606278
2100  120971  0.113976  0.977293  0.602433
2200  121469  0.119678  0.974057  0.581248
2300  121187  0.121242  0.974288  0.586838
2400  120756  0.117073  0.973264  0.591479
2500  121114  0.118711  0.973212  0.585058
2600  120921  0.123395  0.970556  0.581198
2700  120284  0.116055  0.969896  0.579444
2800  121168  0.118702  0.969228  0.581892
2900  121084  0.122681  0.966083  0.578577
3000  121170  0.117899  0.966395  0.578641
3100  120551  0.12082  0.967412  0.586772
3200  121485  0.121404  0.963939  0.571346
3300  121068  0.118609  0.964849  0.581626
3400  121635  0.123891  0.965093  0.588896
3500  120902  0.122639  0.965539  0.595641
3600  121417  0.123355  0.964803  0.5922
3700  120975  0.12372  0.963177  0.586541
3800  121041  0.119887  0.964127  0.59066
3900  121590  0.11996  0.963663  0.587411
4000  121722  0.122203  0.962424  0.584089
4100  121340  0.12123  0.965823  0.598278
4200  121382  0.119375  0.966959  0.604331
4300  121464  0.124591  0.967474  0.610528
4400  121000  0.120435  0.970828  0.624448
4500  120605  0.119381  0.97087  0.626578
4600  120906  0.116365  0.971867  0.631134
4700  121893  0.120721  0.97297  0.63184
4800  121289  0.114592  0.972398  0.623337
4900  120498  0.111224  0.972032  0.623445
5000  121440  0.113821  0.973204  0.627267
5100  121380  0.119897  0.970002  0.616713
5200  121546  0.120154  0.969666  0.618093
5300  121480  0.12039  0.969948  0.6236
5400  120961  0.116942  0.968259  0.612865
5500  120891  0.115476  0.967076  0.614054
5600  121137  0.116699  0.967117  0.617705
5700  121103  0.117241  0.967782  0.620198
5800  121209  0.123702  0.968963  0.623517
5900  121397  0.121903  0.969942  0.629709
6000  121343  0.116172  0.972632  0.64034
6100  120671  0.117621  0.974622  0.649423
6200  122244  0.122117  0.97401  0.646587
6300  120553  0.11913  0.972474  0.640527
6400  121092  0.119405  0.970352  0.635514
6500  122006  0.123657  0.972447  0.645887
6600  121027  0.115048  0.970355  0.637871
6700  120974  0.119276  0.972289  0.647723
6800  121135  0.120806  0.97205  0.648494
6900  120944  0.117961  0.971887  0.648676
7000  121070  0.120761  0.97126  0.647239
7100  121211  0.121214  0.97187  0.648709
7200  121984  0.121434  0.973139  0.654889
7300  121840  0.121347  0.974439  0.658677
7400  121421  0.118461  0.974876  0.658199
7500  121739  0.120279  0.974828  0.657686
7600  121388  0.120317  0.974393  0.657397
7700  121746  0.120201  0.975122  0.664971
7800  121027  0.122103  0.975632  0.666818
7900  121039  0.117859  0.976298  0.670714
8000  121808  0.12495  0.975489  0.667111
8100  121427  0.122417  0.973575  0.659667
8200  121437  0.127866  0.973363  0.662976
8300  121691  0.120632  0.97361  0.662211
8400  121579  0.120216  0.975552  0.669101
8500  120857  0.117482  0.974432  0.667287
8600  121017  0.119807  0.974964  0.670945
8700  121000  0.119201  0.97427  0.669834
8800  121273  0.123854  0.974803  0.672771
8900  121758  0.122933  0.97411  0.669988
9000  121185  0.119449  0.972109  0.661255
9100  121570  0.121983  0.973085  0.665345
9200  121273  0.119877  0.97199  0.659779
9300  121345  0.120384  0.973475  0.666636
9400  121960  0.118546  0.973689  0.667222
9500  121242  0.119052  0.973451  0.662356
9600  120969  0.120155  0.97348  0.663426
9700  121197  0.123052  0.973943  0.6653
9800  121298  0.120172  0.973673  0.666115
9900  121714  0.123331  0.974378  0.669131
