t  meta_n  emi mean_cth  mean_gamma
0  120608  0.448288  0.909784  0.898811
100  119556  0.166189  1.04885  0.847199
200  119596  0.147309  1.04921  0.806128
300  120143  0.142236  1.04414  0.782582
400  119694  0.142977  1.03324  0.757613
500  120083  0.145088  1.02556  0.739424
600  119956  0.144471  1.02366  0.731858
700  119606  0.141832  1.01762  0.720632
800  120816  0.142321  1.01664  0.713443
900  119736  0.138217  1.01066  0.693707
1000  119873  0.140554  1.00637  0.699303
1100  120059  0.136178  1.00271  0.689768
1200  120559  0.140763  1.0062  0.698123
1300  120294  0.144207  1.00721  0.709474
1400  120223  0.148852  1.00463  0.71232
1500  119953  0.143201  1.01124  0.726924
1600  120149  0.143672  1.01268  0.736099
1700  120034  0.145499  1.01721  0.745776
1800  120579  0.147797  1.01796  0.744001
1900  120093  0.143698  1.01732  0.74092
2000  120232  0.143072  1.02086  0.747292
2100  120318  0.14011  1.02264  0.748557
2200  120331  0.13601  1.03345  0.764087
2300  120214  0.137458  1.03972  0.780383
2400  119697  0.138751  1.04645  0.796933
2500  120137  0.140412  1.05037  0.811536
2600  119984  0.135928  1.05035  0.808329
2700  119876  0.135874  1.05339  0.811796
2800  119973  0.134168  1.05955  0.832408
2900  120035  0.142813  1.06972  0.858227
3000  120421  0.145982  1.06803  0.861774
3100  120619  0.141222  1.06989  0.867532
3200  119745  0.139658  1.0721  0.872819
3300  120429  0.138614  1.07262  0.876132
3400  119872  0.146348  1.07617  0.880172
3500  119863  0.13754  1.07537  0.879157
3600  120289  0.136616  1.07528  0.877652
3700  119921  0.139934  1.07998  0.888061
3800  120538  0.140514  1.0824  0.895848
3900  120268  0.145331  1.08759  0.910487
4000  120063  0.143902  1.09261  0.922563
4100  120412  0.142836  1.09409  0.927125
4200  120150  0.143608  1.09442  0.928874
4300  120217  0.13806  1.09729  0.934913
4400  120550  0.142881  1.10056  0.943742
4500  120140  0.137813  1.10388  0.951145
4600  119942  0.138187  1.10586  0.957126
4700  120099  0.144129  1.11135  0.967754
4800  120540  0.145976  1.11369  0.973826
4900  119976  0.142871  1.115  0.978612
5000  120860  0.149222  1.11642  0.982029
5100  119744  0.141818  1.11793  0.985838
5200  120224  0.142588  1.11834  0.986117
5300  120873  0.142697  1.11813  0.985692
5400  119857  0.136087  1.11944  0.988103
5500  120393  0.142175  1.12017  0.990075
5600  120143  0.141762  1.12071  0.990991
5700  119980  0.145657  1.12167  0.991923
5800  120261  0.14454  1.12299  0.993796
5900  120812  0.146168  1.12278  0.993853
6000  120643  0.139837  1.12313  0.993822
6100  120286  0.139273  1.12341  0.994903
6200  120236  0.143608  1.12273  0.993821
6300  120187  0.143052  1.12355  0.994788
6400  120190  0.139354  1.1241  0.995596
6500  120381  0.142226  1.12468  0.996506
6600  120079  0.143786  1.12502  0.996544
6700  119865  0.14164  1.12569  0.997249
6800  120437  0.139687  1.12572  0.997693
6900  120055  0.142717  1.12601  0.997671
7000  120759  0.141048  1.1264  0.997876
7100  119969  0.142997  1.12715  0.998626
7200  119938  0.146305  1.12706  0.998866
7300  120096  0.143952  1.12707  0.998825
7400  120305  0.142517  1.12688  0.998985
7500  120336  0.144979  1.12666  0.998704
7600  120217  0.14459  1.12613  0.997799
7700  120484  0.139632  1.12594  0.997782
7800  119439  0.141442  1.12571  0.997782
7900  120960  0.144917  1.12597  0.997805
8000  120732  0.145738  1.12581  0.997604
8100  120313  0.142994  1.1252  0.996929
8200  120151  0.143297  1.12486  0.996085
8300  120365  0.138187  1.1254  0.996799
8400  120490  0.14508  1.12579  0.997194
8500  120140  0.141529  1.12622  0.997921
8600  120465  0.147072  1.12661  0.99852
8700  120232  0.145369  1.12665  0.99872
8800  120253  0.144947  1.1271  0.999072
8900  120184  0.139978  1.12721  0.999119
9000  120163  0.142478  1.12746  0.99917
9100  120315  0.144897  1.1274  0.999186
9200  120126  0.142907  1.12757  0.999561
9300  120065  0.140055  1.12795  0.999555
9400  120540  0.143833  1.12792  0.999532
9500  119953  0.137804  1.12795  0.999572
9600  120636  0.14185  1.12787  0.999673
9700  120994  0.139691  1.12773  0.999551
9800  120252  0.138831  1.12759  0.999576
9900  120236  0.144225  1.1276  0.999493
