t  meta_n  emi mean_cth  mean_gamma
0  114423  0.446728  0.909476  0.899147
100  104639  0.203956  1.02455  0.811163
200  105515  0.185411  0.995505  0.711891
300  105281  0.171379  0.9697  0.627623
400  105909  0.173652  0.939356  0.553676
500  105305  0.175874  0.912279  0.492519
600  105458  0.174878  0.8883  0.43037
700  106987  0.179696  0.878891  0.396775
800  105951  0.169634  0.875112  0.373099
900  105537  0.173299  0.861971  0.343046
1000  105808  0.174725  0.852738  0.328932
1100  106293  0.180603  0.844851  0.30746
1200  106606  0.181904  0.842186  0.289929
1300  106119  0.171834  0.835421  0.266065
1400  107408  0.173363  0.832243  0.247541
1500  106309  0.17787  0.825268  0.233214
1600  105916  0.173727  0.822142  0.211528
1700  106617  0.175323  0.817787  0.210992
1800  106435  0.17763  0.81809  0.199335
1900  106249  0.178033  0.813064  0.185074
2000  106500  0.175279  0.813393  0.174692
2100  105310  0.170252  0.808794  0.159949
2200  106278  0.171473  0.807259  0.159342
2300  107110  0.172101  0.803698  0.157359
2400  105899  0.173579  0.802724  0.147803
2500  105696  0.176979  0.796682  0.140141
2600  106941  0.178785  0.799304  0.145012
2700  106179  0.17479  0.79791  0.145748
2800  107496  0.1826  0.794697  0.148022
2900  106489  0.173795  0.795806  0.143732
3000  107268  0.177146  0.794239  0.134606
3100  106205  0.177675  0.792536  0.133985
3200  107009  0.175925  0.791905  0.130201
3300  106641  0.177253  0.789319  0.126027
3400  106471  0.175051  0.793153  0.123419
3500  107059  0.171044  0.793101  0.119862
3600  107131  0.177764  0.791862  0.117193
3700  105648  0.175059  0.792266  0.119228
3800  106615  0.17497  0.793127  0.117716
3900  107456  0.176191  0.794072  0.115992
4000  106617  0.167788  0.793156  0.112019
4100  106528  0.169471  0.793277  0.117087
4200  106282  0.169241  0.793388  0.115372
4300  105934  0.174988  0.792414  0.112603
4400  105783  0.171513  0.791029  0.108113
4500  107270  0.172003  0.790395  0.0998461
4600  106116  0.16883  0.788504  0.0974556
4700  106468  0.171005  0.787874  0.0903607
4800  107483  0.175006  0.788273  0.0881777
4900  106360  0.171497  0.790979  0.085283
5000  105302  0.166111  0.789397  0.0821096
5100  106946  0.169859  0.788968  0.0747652
5200  107026  0.171054  0.790159  0.0747648
5300  106415  0.167009  0.789692  0.074738
5400  106285  0.16541  0.790058  0.0761864
5500  106918  0.169146  0.790669  0.0744096
5600  106136  0.173727  0.790853  0.0721884
5700  105865  0.167065  0.791436  0.0764655
5800  105614  0.161143  0.793355  0.077061
5900  105851  0.16248  0.792959  0.0806606
6000  105992  0.168961  0.792524  0.0808072
6100  106516  0.166403  0.790836  0.0760742
6200  105794  0.17148  0.790239  0.0786453
6300  106948  0.170652  0.791004  0.0781408
6400  106012  0.160542  0.790057  0.0763512
6500  105916  0.166638  0.790772  0.0792343
6600  106889  0.161695  0.790647  0.0713072
6700  107154  0.166121  0.789745  0.0678192
6800  106849  0.172479  0.790107  0.071405
6900  106364  0.161593  0.791305  0.0690823
7000  105706  0.163367  0.789105  0.0634737
7100  106016  0.167537  0.78843  0.0645156
7200  106813  0.170922  0.788323  0.0632203
7300  106738  0.165701  0.787106  0.0625285
7400  105379  0.16497  0.787336  0.0654543
7500  106988  0.165051  0.786813  0.0668535
7600  106433  0.171539  0.785936  0.0620024
7700  106324  0.169101  0.785299  0.0569287
7800  105868  0.164919  0.786589  0.0596573
7900  105607  0.166492  0.78585  0.0620756
8000  106903  0.165784  0.785354  0.0577947
8100  106573  0.174958  0.786025  0.061999
8200  107124  0.17208  0.78726  0.0627035
8300  107237  0.169952  0.786302  0.0604812
8400  106776  0.173181  0.787469  0.0615833
8500  106312  0.169325  0.786104  0.0602873
8600  106402  0.16879  0.786167  0.061064
8700  107334  0.174124  0.7861  0.0585356
8800  106525  0.170574  0.787272  0.0581163
8900  106208  0.16258  0.787873  0.0577636
9000  107281  0.172021  0.786876  0.0565687
9100  106818  0.166721  0.788399  0.0581331
9200  106085  0.162887  0.787727  0.0569355
9300  106234  0.164096  0.787318  0.0581708
9400  106245  0.16625  0.785487  0.0556956
9500  106794  0.168209  0.785883  0.0541483
9600  107059  0.164607  0.787958  0.0559812
9700  107355  0.173206  0.788104  0.0512301
9800  106617  0.166396  0.78837  0.0543428
9900  106276  0.163698  0.789341  0.0526938
